user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
SekeRob,11.361,2.335.706,205.6,16.682,32.347,58.914,3.872,1.942,189.709
ross-map,5.235,867.633,165.7,115.011,39.071,1.958,3.587,156,451
fayor,1.052,661.575,628.9,44.111,32.607,2.343,9.241,420,3.152
gurciln,3.592,552.734,153.9,7.857,7.578,6.562,950,1.396,13.694
Giovanni Forgione,3.939,454.160,115.3,4.506,11.662,14.939,669,6.761,15.285
Michele Aquilani,458,441.677,964.4,38.132,17.600,995,1.419,77,919
pikappa79,503,384.989,765.4,6.367,4.965,5.751,528,1.578,4.616
hecktor,1.099,377.746,343.7,45.666,2.910,336,214,104,181
giorgio92,666,341.272,512.4,37.005,4.475,575,597,74,333
toponomastica_comune_arenzano,1.473,314.466,213.5,24.336,9.589,2.055,1.099,1.763,626
Dino Michelini,1.677,252.134,150.3,6.403,11.708,2.197,393,6.604,2.331
Đuro Jiří,18.940,241.275,12.7,17.738,99.168,714,24.172,75,3.726
achim becker,1.517,211.515,139.4,34,721,1.047,19,365,8.746
aldoct,2.130,210.105,98.6,1.939,15.903,402,361,3.079,1.196
rugamarcus,989,201.439,203.7,17.474,12.793,495,1.910,82,8.155
Emanuele Lorenzo Corti,800,194.246,242.8,10.011,7.154,1.983,563,83,3.588
semrs1,217,176.252,812.2,9.833,1.154,385,36,6,473
Balaabirami,6.154,175.862,28.6,16,53.599,44,13,7,87
Francoerbi41,1.888,166.043,87.9,21.019,7.461,388,2.533,680,94
DomenicoCacace,547,164.584,300.9,7.028,4.981,1.610,1.480,140,779
user_10901495,1.846,163.706,88.7,7.082,26.943,1.797,5.708,775,3.376
CCCGGG,2.870,162.284,56.5,4.643,9.359,9.095,3.121,179,5.283
Cascafico,2.196,151.758,69.1,14.901,4.287,1.046,1.261,91,531
LvdT,263,151.378,575.6,4.695,4.958,921,664,252,256
domikdomik,2.724,148.983,54.7,14.874,2.538,1.748,318,340,584
dieterdreist-CAI,1.676,144.648,86.3,57,12.228,270,97,204,126
Fabiano Peddis,2.264,140.903,62.2,4.641,11.475,389,554,54,20
MarcoR,1.902,140.463,73.9,11.684,8.037,353,2.554,89,950
Gior7,2.612,136.491,52.3,699,9.232,790,323,206,448
Martj9,2.667,132.400,49.6,1.960,17.980,1.724,917,367,3.068
dp7,1.226,125.397,102.3,4.125,3.115,707,217,2.664,953
demon_box,4.555,120.072,26.4,4.519,11.352,1.416,1.377,960,13.879
vlattanzi,334,119.831,358.8,5.922,2.032,98,113,1.048,443
Giuseppe Citterio,364,118.750,326.2,1.057,2.164,581,57,804,1.286
tio-Jorge,201,117.658,585.4,6.502,6.384,320,572,11,77
f_gonella,1.177,116.822,99.3,279,29.930,597,346,505,284
amadvance,1.300,113.440,87.3,498,8.339,14,1.218,244,522
josil,295,113.095,383.4,1.356,2.619,1.173,103,279,3.727
gpstracks,173,105.977,612.6,168,919,322,65,102,526
voschix,837,105.646,126.2,1.138,19.917,478,679,544,108
lorenzo23622,705,104.878,148.8,81,13.880,672,69,922,205
StefanoBachi,294,104.285,354.7,115,2.704,973,19,15.307,246
canfe,1.499,103.796,69.2,4.232,3.869,853,834,544,267
arcanma,976,103.416,106.0,605,5.755,255,164,373,119
PaoloLombardi,531,97.266,183.2,381,2.764,3.226,85,211,412
paulbrunner,2.651,97.036,36.6,8.736,2.896,228,352,7,183
Jrachi,1.077,96.723,89.8,956,18.946,629,347,868,310
ivanbranco,3.434,91.760,26.7,4.319,16.830,3.795,6.187,1.308,1.279
rikmede,602,91.676,152.3,111,3.022,47,62,529,74
Marcello Perathoner,1.145,89.647,78.3,596,9.242,409,1.491,246,639
woodpeck_repair,21,89.026,4239.3,3,36.178,1,4,0,1
kaitu,1.104,86.327,78.2,8.264,3.194,84,687,251,154
diegomodolo,310,85.131,274.6,396,2.883,4.309,240,267,1.704
PMJx,95,84.848,893.1,362,4.014,514,117,94,3.061
Fabrizio Tatti,568,84.836,149.4,637,2.960,155,231,279,587
sorcrosc,1.199,79.121,66.0,6.974,9.684,224,242,51,54
