user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
billi55,21.547,339.620,15.8,7.072,1.773,13.123,701,48,45.545
demon_box,8.653,140.737,16.3,11.274,12.673,2.151,3.867,6.484,3.343
Francoerbi41,4.380,168.120,38.4,1.765,12.181,637,1.918,6.868,713
Pathumthani,4.106,44.933,10.9,711,2.632,996,521,82,1.071
aldoct,3.660,450.465,123.1,2.528,29.508,814,488,4.621,1.449
CAI Salò,3.653,15.279,4.2,315,2.009,163,133,27,56
Dante Torreggiani,3.267,67.415,20.6,397,3.811,1.339,169,850,185
cxc,2.823,152.596,54.1,6.192,8.427,860,905,326,754
mircozorzo,2.777,31.215,11.2,659,5.129,62,750,14,79
fedc,2.608,209.574,80.4,2.758,16.680,3.724,782,1.142,841
Mannivu,2.521,37.521,14.9,1.582,8.834,110,888,346,108
LuSirto,2.353,79.208,33.7,1.776,9.195,1.353,977,735,498
achim becker,2.345,243.676,103.9,561,977,2.205,134,1.166,12.016
Martj9,2.265,65.229,28.8,4.402,15.566,1.068,588,156,1.333
Ale_Zena_IT,2.181,318.844,146.2,6.541,31.117,216,2.310,124,299
Pepilepioux,2.118,3.420,1.6,10,2.253,0,0,76,2
Andrea Del Sarto,2.117,35.903,17.0,298,4.853,87,195,80,24
usbe,1.959,85.464,43.6,3.426,6.649,390,594,142,244
sorcrosc,1.831,269.233,147.0,4.252,28.140,828,1.711,153,166
mcheckimport,1.778,1.316.707,740.6,31.370,20.542,10.810,1.548,832,2.169
mcheck,1.711,676.125,395.2,41.584,19.565,4.706,1.864,709,631
Constable,1.600,49.542,31.0,674,7.961,476,1.222,62,131
BeboPremana,1.598,18.083,11.3,626,1.130,567,209,709,825
Danysan95,1.510,16.175,10.7,730,2.402,100,654,251,53
gionax,1.450,34.673,23.9,1.024,2.554,110,1.442,232,383
PaoloRE1981,1.418,48.055,33.9,347,3.569,2.531,377,197,985
bvivi,1.357,9.425,6.9,566,1.117,120,53,48,49
luschi,1.305,24.064,18.4,817,4.077,386,317,186,158
Sauro_41,1.295,12.846,9.9,956,1.426,93,101,2,54
gigi2037,1.283,60.705,47.3,138,5.351,155,157,227,260
spietsnaz,1.278,16.561,13.0,167,748,493,110,61,373
Alecs01,1.216,392.626,322.9,51.442,16.386,6.212,5.292,414,4.897
Fra00,1.197,171.094,142.9,5.305,13.273,771,532,74,220
Riccardo Pastocchi,1.195,86.596,72.5,7.899,5.488,118,1.056,4,380
Guidus,1.193,30.766,25.8,3.784,988,204,966,88,65
Michele Aquilani,1.170,515.724,440.8,61.646,9.631,789,1.232,129,1.050
Cascafico,1.127,59.405,52.7,3.151,2.944,135,23.208,206,1.452
popilen,1.095,40.601,37.1,2.332,640,69,922,835,288
Lex legis,1.082,8.825,8.2,100,547,216,108,89,202
corfede,1.057,184.099,174.2,11.891,15.952,1.041,1.295,139,535
dforsi,1.055,3.656,3.5,318,325,47,341,15,36
user_7073950,1.012,15.102,14.9,702,1.918,90,490,12,18
DnaX,1.009,54.449,54.0,3.577,3.717,510,569,139,95
dvdzero,987,15.152,15.4,349,4.404,193,353,40,21
alessandro trekking,987,25.705,26.0,307,1.351,134,252,80,107
Max Tenerelli,979,645.062,658.9,540,8.613,3.522,234,534,8.623
Dingo67,971,7.294,7.5,8,2.221,22,13,21,3
Pucciotrex30,969,14.895,15.4,44,1.524,140,14,20,43
Angelo Giuseppe,956,37.708,39.4,1.528,3.159,47,629,340,124
walter1967sa,941,80.768,85.8,1.226,1.976,1.116,69,142,630
Mzzntn,931,20.272,21.8,642,4.257,284,577,2,92
bubix,895,13.839,15.5,1.251,1.614,103,439,115,137
canfe,888,3.151,3.5,147,822,37,283,2,28
LorenzoPesci,870,23.335,26.8,2.305,897,133,523,66,169
voschix,868,53.499,61.6,850,11.492,173,473,209,121
datamove,866,19.030,22.0,10,11.347,16,6,0,3
claudio62PG,855,22.475,26.3,789,1.401,88,759,13,839
Dino Michelini,834,218.947,262.5,10.823,9.004,1.836,498,224,976
Pab09,822,351.207,427.3,40.216,5.836,505,531,164,120
totera,816,26.798,32.8,1.300,7.121,516,580,103,317
ratrun,800,2.588,3.2,17,951,9,4,3,1
dgitto,799,60.127,75.3,2.723,5.965,233,824,31,164
Tozzo,790,17.587,22.3,314,1.144,387,156,37,109
IlBano,789,547.493,693.9,43.487,29.393,1.092,562,683,602
dieterdreist,759,79.420,104.6,2.757,2.267,1.807,423,119,133
Leonorf,746,85.925,115.2,4,3.161,49,7,15,26
