user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
demetrio_m,9.046,154.945,17.1,1.134,6.375,1.003,162,725,273
GeofixFe,2.948,94.042,31.9,496,9.821,552,808,201,53
Davlak,2.611,188.017,72.0,3.943,32.068,336,275,13,39
glaucos,2.198,88.896,40.4,1.855,9.020,106,650,211,83
Giardia,2.153,17.935,8.3,339,2.961,89,1.268,24,113
mcheck,2.040,209.528,102.7,13.428,2.471,979,258,223,359
ilrobi,2.001,313.374,156.6,11.162,27.238,199,1.349,197,101
albertux,1.876,358.145,190.9,26.345,19.292,500,1.290,73,659
kkklllppp,1.875,140.307,74.8,343,40.051,347,2.932,141,12
Al3xius,1.663,1.118.541,672.6,67.485,10.288,4.815,1.228,3.907,31.921
Mich74,1.422,209.505,147.3,27.956,4.851,266,159,43,16
Diego Guidotti,1.398,393.064,281.2,1.002,12.086,2.797,286,170,265
pikappa79,1.313,541.682,412.6,19.339,13.204,5.181,3.963,1.945,2.563
dvdzero,1.252,400.980,320.3,43.879,6.053,697,1.170,150,99
jeawrong,1.228,156.772,127.7,2.170,17.613,456,1.052,149,2.474
at1839,1.202,53.585,44.6,25,1.273,5,85,183,81
DarkFlash,1.189,280.448,235.9,4.635,1.726,2.013,291,11,200
sundemon,1.174,86.540,73.7,4.472,2.944,1.209,233,455,279
scratera,1.173,55.440,47.3,4.037,1.706,599,234,92,405
dieterdreist,1.172,225.181,192.1,4.752,6.958,5.160,535,671,1.445
Cristian1989,1.171,98.217,83.9,3.835,8.848,202,572,11,2
roscolosco,1.164,558.238,479.6,3.997,38.619,1.866,154,1.405,1.603
Ale_Zena_IT,1.123,80.992,72.1,1.210,8.339,68,2.195,109,191
danyzeta,1.115,180.231,161.6,6.355,4.387,280,199,192,471
Orlandi_IT_EmiliaRomagna,1.055,76.050,72.1,4.508,3.698,86,304,7,24
Axel2009,1.048,242.005,230.9,4.185,7.220,544,103,154,287
bmarco,1.004,66.075,65.8,9.018,687,254,93,1,38
Cascafico,963,98.251,102.0,447,10.352,175,165,298,219
snaut,958,44.423,46.4,3.178,2.011,641,605,42,121
Udini,917,154.788,168.8,53,16.206,27,64,106,45
Odiug,883,64.692,73.3,1.181,3.569,50,211,242,203
mircozorzo,873,20.638,23.6,11,2.500,84,131,81,55
capataz,848,101.020,119.1,180,3.664,1.360,107,398,841
morsi,848,111.337,131.3,3.444,4.662,950,572,59,73
ValCenoTrek,827,46.697,56.5,1.607,1.292,813,94,65,372
sbiribizio,817,109.981,134.6,407,12.796,1.550,665,203,233
niubii,792,118.756,149.9,849,7.580,248,627,150,231
Tiziano Zorzenon,781,29.583,37.9,139,5.396,7,110,32,1
nuvolabianca,779,431.788,554.3,19.224,6.276,533,868,2.952,2.371
David Paleino,767,353.853,461.3,4.872,10.460,1.011,620,212,1.253
etrumap,764,100.691,131.8,1.550,5.677,1.761,410,306,644
mikelima,733,97.177,132.6,5.445,4.730,111,318,32,45
motovader,726,26.027,35.8,244,382,338,6,1,54
Alexander Roalter,708,263.116,371.6,4.074,4.373,2.279,233,315,1.449
xybot,687,12.327,17.9,2.141,6.159,74,467,23,266
mauriziobis,680,136.465,200.7,10.709,3.936,1.552,66,41,3
Heinz_V,666,159.977,240.2,95,11.438,166,84,199,113
Luca Dorigo,652,243.728,373.8,2.084,5.333,660,1.998,1.171,5.748
Gianluca67,629,28.743,45.7,3,908,14,97,2,50
noperante,622,49.322,79.3,690,9.434,175,391,52,44
Sembola,621,115.381,185.8,2.218,6.849,1.176,162,165,467
Arlas,591,607.174,1027.4,65.208,20.145,428,819,112,633
sorcrosc,590,34.875,59.1,95,4.752,32,109,55,27
alessioz,573,99.379,173.4,4.415,3.939,234,550,94,264
dforsi,558,2.570,4.6,53,923,44,65,18,34
Griphon,550,50.787,92.3,5.444,3.100,129,1.256,38,4
GPS-Marco,543,16.948,31.2,49,1.619,40,40,50,199
jaimemd,538,42.280,78.6,115,2.048,55,69,85,216
FedericoCozzi,535,25.691,48.0,98,1.709,410,165,128,114
voschix,532,67.354,126.6,215,10.412,136,308,490,101
francesco_pe,531,36.219,68.2,1.771,3.741,80,281,32,54
David Botta,529,33.263,62.9,1,2.106,42,143,16,14
kaitu,524,141.045,269.2,1.246,5.313,421,702,38.983,552
SkyOne,522,40.741,78.0,1.223,2.707,169,171,174,1
user_272015,521,62.441,119.8,1.694,1.219,1.029,189,57,401
Mike FABIAN,488,3.739,7.7,25,526,0,84,13,1
balin,485,13.367,27.6,48,1.798,640,54,16,4
pfranz,477,24.373,51.1,805,2.612,108,179,15,26
