user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
Al Bedo Zero39,9.641,198.200,20.6,1.455,22.951,293,577,32,236
mcheckimport,6.071,4.828.833,795.4,470.005,158.981,15.345,21.885,120.764,4.906
demon_box,6.071,110.221,18.2,4.743,11.688,118,2.245,82,310
Sal73x,5.492,71.048,12.9,6.903,3.104,338,312,24,329
ciccionicolosi,5.081,33.866,6.7,1.909,4.853,24,337,253,21
dforsi,4.063,51.496,12.7,1.715,4.921,303,326,46,276
demetrio_m,3.212,53.083,16.5,478,5.500,308,80,120,190
aldoct,3.199,240.469,75.2,2.171,24.036,1.347,287,1.449,527
Davlak,2.994,720.993,240.8,271,72.047,8.327,377,125,42
Odiug,2.733,99.667,36.5,3.968,7.667,440,989,542,533
Paolo Gianfrancesco,2.702,114.820,42.5,5.487,2.906,3.162,842,101,687
Paolo mappeR,2.558,45.522,17.8,481,4.009,302,346,33,73
memedesimo,2.468,46.317,18.8,5.294,1.777,188,375,36,53
GiuseppeAmici_IT,2.382,2.001.296,840.2,3.606,13.829,14.780,1.747,495,7.596
kkklllppp,2.354,124.503,52.9,664,31.850,375,2.359,39,600
DarkSwan_Import,2.145,4.030.167,1878.9,375.790,1.827,76.888,1.498,662,3.688
Bredy,1.797,307.191,170.9,12.242,10.649,5.494,1.813,3.645,510
rovizz,1.784,24.086,13.5,1.135,1.166,728,251,41,183
Griphon,1.696,137.242,80.9,1.411,15.103,1.133,3.812,56,167
openpablo3,1.669,80.370,48.2,4.668,2.808,1.006,324,255,1.072
jeawrong,1.607,60.227,37.5,1.322,5.794,391,906,367,1.907
LuSirto,1.546,101.694,65.8,574,10.528,354,1.050,568,1.273
Diablos,1.544,18.902,12.2,1.018,2.327,145,444,17,51
Rita Pampaloni,1.532,129.152,84.3,204,10.033,1.038,420,1.355,1.795
tyr_asd,1.499,68.498,45.7,3.480,6.788,835,376,368,373
fair,1.443,54.742,37.9,298,1.662,557,921,497,543
TheNick,1.402,240.470,171.5,749,29.646,3.550,1.543,374,24.192
nuvolabianca,1.370,847.861,618.9,39.680,11.878,2.781,2.478,6.775,8.906
mircozorzo,1.340,13.668,10.2,63,2.782,124,412,5,28
OSMChris,1.298,34.424,26.5,3.510,2.076,176,703,25,15
Aury88,1.282,135.455,105.7,7.049,8.897,2.568,800,152,4.996
Baldorider,1.251,28.256,22.6,616,2.623,230,199,7,43
lorenzog89,1.235,85.521,69.2,2.388,3.151,424,324,178,128
DnaX,1.176,56.466,48.0,2.902,3.631,323,557,127,42
Tiziano Zorzenon,1.159,52.893,45.6,708,6.114,100,386,113,20
Mich74,1.148,85.176,74.2,8.359,1.387,23,229,5,6
morsi,1.143,98.582,86.2,2.668,5.174,1.112,325,122,76
colasurf,1.139,174.685,153.4,34,1.410,96,110,1.791,539
gigi2037,1.127,144.453,128.2,148,23.784,441,795,181,283
Vespucci,1.123,15.927,14.2,50,1.007,8,41,359,197
Fabiano Peddis,1.113,20.780,18.7,429,4.773,103,182,27,182
Cascafico,1.104,97.818,88.6,2.669,3.977,305,279,264,393
Max1234-ITA,1.052,226.217,215.0,17.417,9.035,2.035,607,169,87
landfahrer,1.030,7.503,7.3,578,347,437,53,9,68
pikappa79,1.022,263.487,257.8,8.324,10.402,3.966,1.698,404,470
Alecs01,1.018,330.098,324.3,25.840,21.224,2.715,3.707,257,21.532
vpettenati,996,174.940,175.6,51,4.459,4.382,36,644,1.928
Andrea Musuruane,987,32.626,33.1,559,6.472,121,902,49,51
albertux,935,198.581,212.4,3.457,20.898,367,1.089,152,562
jaimemd,931,122.284,131.3,819,4.259,1.055,95,206,671
Yiyi (itwikipedia),919,38.903,42.3,1.852,2.755,680,418,29,101
marcoriv,908,9.184,10.1,310,952,28,343,17,168
Gianluca67,895,16.972,19.0,618,686,388,269,1,23
luschi,879,32.544,37.0,1.198,5.448,143,544,321,89
Gallamine,870,10.406,12.0,299,1.815,104,188,25,15
Francesco91,867,4.959,5.7,212,1.037,41,170,2,12
Marco_T,850,39.040,45.9,294,7.113,202,428,780,20
Steelsaviour,827,26.302,31.8,205,1.585,21,50,202,26
mcheck,818,310.663,379.8,10.951,30.818,874,1.962,35.151,669
SldrHartman,813,327.026,402.2,582,3.502,6.393,1.225,3.660,810
Denisov21,812,48.306,59.5,1.266,3.936,506,810,57,112
Diego Guidotti,806,306.885,380.8,369,12.663,1.643,128,180,99
Decan,782,60.747,77.7,337,4.019,3.440,353,76,485
Giardia,779,6.014,7.7,78,1.291,41,469,4,13
ALn_668,760,67.273,88.5,2.102,3.334,535,321,30,365
rugamarcus,746,153.145,205.3,4.900,14.509,635,464,183,689
pelatom,740,68.790,93.0,3.673,3.816,510,540,43,157
Martj9,731,54.157,74.1,1.063,2.430,438,179,190,257
kaitu,730,78.442,107.5,3.421,8.511,380,1.144,740,268
Sembola,727,115.137,158.4,1.753,5.244,1.182,81,104,273
Goffredo,718,66.039,92.0,1.774,6.707,568,419,60,730
carlobenini,715,87.685,122.6,2.050,12.298,1.153,1.693,149,289
AnyFile,686,16.596,24.2,253,4.468,36,584,31,22
Giogio83,672,15.890,23.6,365,319,11,152,87,479
ilrobi,669,102.825,153.7,7.361,2.432,31,813,28,23
scratera,659,19.348,29.4,2.036,1.110,127,123,16,78
StefanoCudini,650,23.782,36.6,78,1.109,159,115,35,280
solitone,642,12.594,19.6,254,1.824,44,36,3,18
Arlas,625,778.290,1245.3,103.949,16.491,3.391,1.440,103,1.454
Pab09,621,108.908,175.4,3.201,14.763,1.490,344,115,184
sorcrosc,611,93.587,153.2,54,10.916,110,126,133,19
roscolosco,584,220.355,377.3,625,19.934,210,32,905,369
joecow,577,114.328,198.1,414,4.438,1.188,336,81,795
Geofreund1,571,187.455,328.3,12.479,12.061,2.154,1.174,635,937
rovinatissimo,565,11.919,21.1,279,2.005,4,138,39,2
sbiribizio,559,104.743,187.4,652,4.612,155,385,449,218
Gianni Bragante,552,10.251,18.6,284,636,84,195,16,9
bt1950,534,122.711,229.8,13.204,1.387,373,590,90,843
Toliman,526,1.072,2.0,0,0,0,0,0,0
spezzi64,513,48.553,94.6,455,1.565,1.381,133,537,827
giosper,513,12.749,24.9,28,2.357,19,53,17,0
voschix,497,89.801,180.7,385,18.654,179,384,438,84
roby2107,496,20.271,40.9,3,7.462,16,136,2,7
dieterdreist,490,51.187,104.5,1.491,2.453,891,385,71,160
Mirotti,488,15.120,31.0,356,976,63,222,9,13
Parerga,487,11.062,22.7,1.213,1.406,27,341,3,183
Castaman,481,421.099,875.5,16.230,433,7.091,109,0,235
Simone Saviolo,478,38.236,80.0,1.268,8.374,842,789,61,90
Skombi,471,98.041,208.2,1.631,4.307,2.311,505,267,526
Puccia,471,57.045,121.1,41,4.953,39,216,90,139
