user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
Đuro Jiří,40.886,813.734,19.9,50.671,115.860,3.473,39.335,782,6.992
SekeRob,7.834,3.338.117,426.1,15.317,36.485,54.505,8.694,3.804,183.953
ross-map,6.037,1.474.021,244.2,161.884,38.613,7.118,2.142,270,5.513
Flight777,5.837,60.403,10.3,4.999,18.455,10.618,2.780,134,3.900
ivanbranco,4.973,194.409,39.1,3.683,9.702,9.173,4.219,458,36.130
Mannivu,4.636,44.374,9.6,2.002,8.118,511,2.248,148,172
CCCGGG,4.563,509.535,111.7,10.587,16.890,32.875,4.063,665,16.466
totera,4.397,57.494,13.1,3.194,14.909,345,2.483,73,516
Aiman,4.307,38.316,8.9,1.483,9.692,196,2.435,152,276
Martin Ligabue,4.105,70.599,17.2,5.146,10.463,495,1.982,358,544
gigi2037,4.077,56.107,13.8,107,31.726,87,188,3,78
v_martyanov,3.402,20.171,5.9,5.838,44,61,88,9,6
HaPe-CZ,3.314,202.973,61.2,10.158,9.017,1.234,610,313,648
paulbrunner,3.303,74.708,22.6,5.319,6.356,139,1.095,24,60
Pucciotrex30,3.170,82.855,26.1,301,9.914,367,235,168,249
demon_box,3.117,116.278,37.3,4.672,10.051,1.928,1.110,561,3.115
cantece,3.019,75.895,25.1,777,1.010,2.020,109,76,727
mircozorzo,3.013,31.106,10.3,120,4.931,70,4.862,4,148
dp7,2.927,263.358,90.0,4.647,3.417,6.697,374,683,4.476
Andrea Del Sarto,2.676,30.357,11.3,499,4.599,37,85,114,80
Jacopo,2.651,43.353,16.4,893,6.769,690,4.294,111,1.567
damianeue,2.538,324.856,128.0,3.005,60.331,1.037,2.978,241,2.305
dvdzero,2.476,29.872,12.1,3.230,4.275,582,860,21,49
aldoct,2.355,287.490,122.1,4.469,15.990,504,576,3.099,1.070
DnaX,2.305,107.922,46.8,5.218,10.451,778,1.547,412,524
Map47,2.211,24.126,10.9,1.212,495,1.048,284,43,474
toponomastica_comune_arenzano,2.141,1.238.945,578.7,30.035,23.144,10.335,2.563,2.017,1.680
Susymala,2.090,25.464,12.2,440,10.628,121,749,230,81
baprischka,2.015,31.583,15.7,3.002,3.293,236,1.612,4,168
canfe,2.011,51.914,25.8,4.076,6.353,745,1.053,491,208
dambuster80,1.992,38.648,19.4,2.787,836,188,266,32,266
pfez,1.963,12.763,6.5,673,6.919,23,402,2,33
Yiyi (itwikipedia),1.961,34.663,17.7,754,12.603,2.678,856,19,940
Alexis04132,1.900,64.926,34.2,1.503,8.345,962,1.607,1,339
ottanium,1.820,19.496,10.7,1.115,7.097,26,484,5,2
LorenzoBassi_SICAI_Team,1.820,11.367,6.2,0,2.000,0,0,0,0
Zio Pino,1.819,3.016,1.7,142,1.482,4,692,0,19
WinstonSmith,1.816,17.200,9.5,55,8.109,40,525,8,131
Dino Michelini,1.808,106.183,58.7,1.259,5.803,1.036,288,402,1.030
Gorka115,1.799,32.017,17.8,2.237,15.326,559,1.529,6,842
nick1993,1.743,45.923,26.3,1.227,4.850,1.333,2.232,230,180
Armando Hasanbelliu,1.718,101.810,59.3,555,14.095,1.063,316,285,103
Valerio_Bozzolan,1.717,5.960,3.5,448,2.235,1,1.243,0,20
a1ca424,1.698,9.376,5.5,754,5.110,76,577,12,477
drazde,1.686,27.385,16.2,646,3.974,13,437,15,176
megaloman-it,1.685,3.141,1.9,158,701,4,1.222,0,13
MarcoR,1.655,144.425,87.3,8.049,6.468,739,2.333,2.649,2.266
Dom61,1.646,98.055,59.6,4.350,7.295,319,484,19,43
Martj9,1.627,94.260,57.9,3.323,5.748,1.231,671,131,1.071
Flynn_,1.613,26.784,16.6,727,2.528,1.019,1.248,61,1.171
Steffo45,1.597,17.745,11.1,3.006,4.709,214,1.397,20,124
gurciln,1.589,180.784,113.8,5.934,2.116,1.364,47,653,1.873
AndreaDFC,1.559,18.161,11.6,820,5.025,95,297,6,336
giubar,1.558,91.118,58.5,8.980,6.528,84,1.838,59,242
Francoerbi41,1.556,215.510,138.5,29.159,13.000,519,2.471,317,109
smorz,1.480,9.803,6.6,26,3.992,51,46,4,3
Swihail,1.456,26.159,18.0,1.421,2.124,25,72,5,2
Paguro01,1.455,45.797,31.5,1.583,5.807,200,3.769,28,344
Sighel_D,1.401,4.658,3.3,362,2.724,25,442,3,63
Aluminum0173,1.351,20.748,15.4,811,3.349,127,895,4,279
DabMK,1.338,553.026,413.3,14.514,50.771,7.535,5.567,5.709,6.307
Red Zeppelin,1.318,8.421,6.4,1.601,6.079,7,243,0,86
gscholz,1.296,5.256,4.1,103,1.208,120,33,17,27
f_gonella,1.285,110.043,85.6,164,24.491,865,340,555,759
zdenal_o_cart,1.262,1.384,1.1,1.208,4,0,1.132,0,1
Transalcolico,1.246,5.133,4.1,668,2.839,0,828,0,37
Premo19,1.231,41.723,33.9,235,2.152,534,625,675,312
fayor,1.191,395.383,332.0,16.090,28.834,936,7.831,165,2.098
dieterdreist,1.151,209.865,182.3,4.532,4.574,6.212,519,169,1.939
Paolo Camporotondo,1.149,1.941,1.7,3,164,1,0,3,4
Repower CMC,1.140,1.157,1.0,12,1,0,1.116,0,0
PaoloRE1981,1.117,33.715,30.2,738,3.052,479,2.090,268,1.989
ezio_m,1.113,105.097,94.4,547,17.556,1.465,1.212,49,754
Cascafico,1.101,22.964,20.9,479,2.048,220,479,51,167
AndreaDp271,1.082,27.306,25.2,366,5.743,128,229,208,152
laxandrea,1.073,74.817,69.7,4.281,4.237,2.078,284,103,757
Lupinsun,1.062,139.980,131.8,116,15.345,30,114,945,165
PendlerMa,1.057,8.216,7.8,488,3.398,59,426,18,41
Murrumbidgee,1.053,19.358,18.4,1.260,1.743,13,30,8,1
SekeRob repair,1.052,112.906,107.3,504,2.070,3.327,627,220,3.565
EI-EXA,1.040,9.694,9.3,4.299,4.505,3,522,0,55
aboc,1.024,44.670,43.6,672,19.056,724,546,145,260
frasty,1.023,49.802,48.7,966,3.042,1.025,702,186,840
Jrachi,1.014,70.813,69.8,364,8.544,313,177,367,220
Silence37,1.013,45.490,44.9,1.416,1.803,58,227,359,507
Italian Technology,1.009,51.161,50.7,2.596,5.343,767,901,81,256
evilworld,1.004,43.596,43.4,1.551,5.201,389,878,22,126
Paolo Servili,995,121.809,122.4,2.952,4.716,1.668,182,265,4.292
Andrea Musuruane,994,20.075,20.2,432,2.065,90,494,55,7
Balaabirami,964,5.611,5.8,5,1.597,6,6,1,2
EdoBoo,959,7.373,7.7,191,1.881,119,395,20,70
osm19,957,68.820,71.9,556,3.026,407,309,509,1.318
aa30mom,951,20.584,21.6,1.164,2.764,73,644,1,1
Francesco Zanaboni,932,117.827,126.4,1.520,14.880,2.950,1.107,497,4.193
Pathumthani,924,1.285,1.4,24,13,8,4,0,2
Mapparoger,911,4.683,5.1,132,4.155,4,266,0,35
mau59,894,213.780,239.1,477,44.510,355,463,26,217
Mose53,891,21.039,23.6,468,3.844,89,250,182,245
RUGGERO DEL VECCHIO,873,35.428,40.6,220,5.718,49,219,59,115
hecktor,872,267.847,307.2,30.812,3.325,227,241,170,29
