user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
napo,189,57.393,303.7,3.200,1.817,247,251,30,3.690
nick1993,2.653,56.745,21.4,712,16.046,1.095,1.804,312,471
BibiOSM,112,56.524,504.7,2.005,1.620,274,57,200,176
giulio_g,204,56.521,277.1,262,5.135,357,143,26,2.043
Denisov21,230,56.301,244.8,6.273,634,73,163,10,79
Mannivu,5.569,55.634,10.0,2.551,8.319,830,2.686,98,298
diegomodolo,172,54.320,315.8,240,2.683,4.764,1.957,37,1.457
Paolitosss,4.977,53.749,10.8,4.559,7.450,224,3.045,60,354
ottanium,2.063,52.773,25.6,1.777,22.791,343,634,210,20
Andrea Del Sarto,3.768,50.895,13.5,601,6.927,80,162,244,283
matteobott,1.247,50.608,40.6,3.120,2.531,858,669,64,2.018
