user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
SekeRob,7.808,3.325.373,425.9,17.413,47.792,67.054,9.684,4.600,289.179
toponomastica_comune_arenzano,5.366,1.170.029,218.0,39.007,25.090,24.521,2.264,1.784,4.269
ross-map,4.316,823.989,190.9,55.082,23.371,2.762,1.729,450,2.083
DabMK,869,402.344,463.0,4.711,18.610,5.754,913,3.799,5.061
dan980,1.514,401.871,265.4,8.492,130.967,361,8.927,167,119
dieterdreist,2.010,398.022,198.0,5.861,5.652,5.763,1.198,86,3.446
dp7,4.517,396.418,87.8,20.402,4.954,10.523,643,2.353,5.327
aldoct,2.223,386.593,173.9,9.049,19.912,420,591,2.933,1.310
wildmaps,2.906,381.912,131.4,12.768,21.880,2.720,3.200,756,3.162
Đuro Jiří,18.835,355.733,18.9,41.859,30.593,1.146,18.829,134,2.602
paulbrunner,1.643,344.607,209.7,52.693,3.263,213,744,22,49
Emabarto,1.196,327.296,273.7,12.483,27.333,1.712,14.457,568,9.008
hecktor,643,312.347,485.8,38.020,3.153,228,300,212,8
fayor,1.120,305.792,273.0,27.238,15.470,605,5.265,158,1.378
osm19,1.658,273.687,165.1,3.136,14.901,6.579,1.644,851,1.635
Max1234-ITA,799,238.773,298.8,8.630,6.308,3.198,347,290,960
pikappa79,380,238.151,626.7,2.536,4.414,2.972,114,1.055,1.474
CCCGGG,1.920,237.914,123.9,3.022,9.207,13.465,1.936,857,8.142
PaoloLombardi,517,225.597,436.4,336,12.707,7.334,102,203,956
Francoerbi41,2.023,199.583,98.7,26.461,15.626,644,3.065,291,103
f_gonella,4.699,195.227,41.5,6.399,36.437,2.644,2.755,1.253,1.974
user_8y978a,530,184.616,348.3,4.789,7.873,9.292,1.017,317,2.930
IlBano,255,184.603,723.9,85,4.748,6.406,65,8.625,1.889
Giovanni Forgione,984,182.727,185.7,2.695,5.544,5.362,218,1.370,3.829
Yiyi (itwikipedia),5.167,179.686,34.8,7.303,42.091,442,2.157,4,4.474
Martj9,2.065,177.261,85.8,3.676,8.241,4.482,914,79,2.076
Emanuele Lorenzo Corti,799,176.662,221.1,5.659,4.502,1.519,294,216,2.207
Michele Aquilani,318,176.615,555.4,15.360,6.925,759,709,11,148
mau59,591,174.255,294.8,420,32.272,423,660,27,749
damianeue,2.065,174.253,84.4,2.008,35.519,667,2.002,347,1.142
mircozorzo,3.731,171.054,45.8,156,7.151,128,59.554,5,83
StefanoBachi,766,167.361,218.5,235,19.138,1.657,29,12.239,936
demon_box,4.278,162.773,38.0,7.338,14.857,3.663,3.947,559,2.593
catgirlseraid,179,161.727,903.5,215,14,30,7,0,1
Plaintelive,356,156.104,438.5,3.402,7.521,2.011,1.139,106,10.083
dellared,1.342,148.892,110.9,8.226,5.898,6.120,1.421,46,2.796
MarcoR,1.557,148.750,95.5,5.700,4.821,1.687,4.898,151,2.501
Stefano Manfredini,701,142.910,203.9,499,3.336,4.867,287,765,3.497
Gianfranco2014,92,142.508,1549.0,90,886,2.865,9,1.312,210
ezio_m,664,136.910,206.2,598,15.029,849,947,73,245
Friendly_Ghost,324,132.851,410.0,3.506,19.028,4.125,738,364,272
Pab09,214,130.374,609.2,13.159,3.767,608,356,640,474
LeoBorGiov,482,128.109,265.8,2.513,5.597,1.106,626,520,1.010
RUGGERO DEL VECCHIO,2.072,121.555,58.7,66,22.395,58,101,89,134
branco-revert,51,117.152,2297.1,94.947,78,3,369,0,1.276
AwFi,1.230,113.405,92.2,1.250,10.139,251,529,673,502
Sal73x,962,110.978,115.4,4.738,3.447,1.368,325,179,864
voschix,653,109.773,168.1,900,21.939,281,757,524,98
rugamarcus,596,109.405,183.6,6.979,5.320,2.147,1.216,30,3.094
aa30mom,2.850,107.565,37.7,6.048,2.854,362,1.777,14,35
lorenzo23622,397,107.540,270.9,91,12.889,286,45,1.083,290
filmor,447,107.146,239.7,2.228,3.005,1.775,835,1.481,12.899
Begavil84,423,105.880,250.3,418,16.602,673,502,20,5.026
DaDiC_88,25,100.923,4036.9,8.637,37,76,42,0,94
Mose53,988,99.224,100.4,11.225,5.262,459,1.240,183,73
Dom61,3.578,96.309,26.9,4.164,15.846,262,889,42,29
aboc,1.071,95.700,89.4,1.813,29.832,1.417,1.062,1.129,880
Pucciotrex30,3.557,94.814,26.7,484,10.180,455,292,275,384
lukasbrunner,515,92.276,179.2,2.058,3.428,2.931,544,308,7.197
Aluminum0173,2.555,90.128,35.3,3.082,9.391,545,2.734,5,1.066
Dino Michelini,1.182,88.578,74.9,1.168,2.812,1.629,143,203,883
Giorgio543143,1.069,84.526,79.1,4.471,7.979,1.237,824,101,706
Lola Fox,423,80.201,189.6,63,535,2.376,50,488,952
Francesco Zanaboni,693,79.613,114.9,858,7.754,2.654,452,205,3.020
wegavision,649,77.404,119.3,455,17.128,1.247,367,52,1.277
Latisana992,248,76.479,308.4,2.062,5.594,2.118,411,359,560
Marco Tamburini,2.785,76.300,27.4,1.312,13.865,112,1.133,77,91
MatCr,565,75.962,134.4,566,1.371,1.601,128,274,142
notmyproblem1,2.503,74.290,29.7,3.172,11.665,344,1.882,246,184
DaveMzp,309,74.111,239.8,7.142,3.397,512,727,98,480
Alt7706,858,73.930,86.2,9.279,1.952,300,162,18,612
Prt_An,732,72.525,99.1,208,573,2.501,123,162,1.306
Cybermanx,1.831,72.347,39.5,2.306,15.227,814,1.565,97,414
c674a,1.548,69.049,44.6,3.335,20.615,392,2.837,17,546
Cortix,1.725,68.446,39.7,1.637,7.192,295,622,27,348
josil,164,65.755,400.9,625,799,741,34,130,2.973
Bwoah33,118,65.593,555.9,1.213,6.984,724,1.191,70,841
PMJx,240,64.359,268.2,363,3.707,445,96,23,2.121
DnaX,2.467,63.996,25.9,3.092,6.499,693,1.339,468,388
Jrachi,1.274,62.261,48.9,660,4.875,248,240,274,158
Lorenzo Zucca,341,62.122,182.2,258,4.922,854,258,528,837
evilworld,331,61.517,185.9,1.928,4.471,322,375,54,262
Francesco Niccolini,198,61.266,309.4,105,283,386,1,85,1.325
achim becker,431,60.475,140.3,351,146,194,15,96,2.355
ivanbranco,5.225,60.217,11.5,3.061,11.315,1.685,2.466,176,2.310
cla88,124,58.937,475.3,2.092,488,1.158,99,84,1.700
Luke197,1.515,58.922,38.9,5.232,1.071,382,35,53,293
AndreaDp271,1.675,57.737,34.5,951,9.653,581,1.378,497,776
fabiotofy,2.067,57.655,27.9,968,5.350,499,449,37,1.219
