user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheckimport,11.262,4.799.455,426.2,432.820,52.484,21.809,5.990,5.030,4.665
DarkSwan_Import,510,3.139.057,6155.0,290.941,1.579,1.226,1.636,384,73
corfedeimport,82,1.632.318,19906.3,136.725,980,4.903,528,7,2
Max1234-ITA,736,1.107.508,1504.8,13.079,8.618,2.718,525,663,6.992
Francesco_Loponte,351,1.050.524,2992.9,66.397,8,4,96,0,135
Pab09,1.447,591.266,408.6,56.436,16.690,4.311,1.105,7.390,7.388
RColombo,184,522.506,2839.7,1.478,766,14.568,222,37,16.686
Alecs01,496,450.568,908.4,40.881,29.757,6.191,5.454,1.190,24.474
RAFVG import,216,421.461,1951.2,1.131,894,10,705,2,0
Fredie,130,409.707,3151.6,14.690,10.738,12.520,1.848,4.452,16.225
nuvolabianca,1.069,380.897,356.3,12.161,12.091,2.952,3.835,652,14.934
IlBano,439,349.925,797.1,103,21.194,561,1.773,48.110,283
vrmap,551,343.721,623.8,231,2.040,4.874,269,45,757
arcanma,1.202,316.112,263.0,505,15.291,819,370,247,144.140
OSM-mircozorzo_import,29,284.568,9812.7,0,10,5.364,0,57,209
aldoct,3.583,264.337,73.8,11.375,22.217,1.067,270,1.602,1.444
mircozorzo,1.449,241.660,166.8,133,3.460,6.239,550,39,210
fedc,6.384,211.322,33.1,5.523,21.840,4.678,1.898,120,1.138
marcoSt,514,197.147,383.6,11.712,903,196,731,27,69
dan980,845,195.282,231.1,4.552,9.221,8.529,1.023,227,1.252
Pyknite,455,186.842,410.6,82,448,10,10,2,2
corfede,1.878,185.640,98.8,2.399,22.564,1.265,1.255,361,280
vancori,3.246,184.986,57.0,2.170,9.139,324,843,717,1.148
gvil_import,115,181.383,1577.2,0,12,2.978,0,3,1.939
adirricor,737,179.268,243.2,9.611,27.690,702,1.146,89,649
Gianfranco2014,83,176.598,2127.7,9.413,1.187,272,10,1.104,536
demon_box,6.350,169.926,26.8,7.229,16.152,299,3.431,1.041,1.801
fayor,429,166.867,389.0,3.988,15.997,365,792,136,8.639
Pathumthani,18.300,160.399,8.8,6.216,11.709,5.310,2.341,96,1.134
kaitu,727,149.785,206.0,14.322,5.901,366,1.499,682,522
achim becker,853,149.309,175.0,12.276,3.717,1.428,647,375,1.535
makakko,579,146.587,253.2,11.851,5.572,213,338,581,28
Davlak,1.434,144.619,100.9,48,120.130,34,33,147,15
morsi,945,144.193,152.6,5.373,3.799,1.354,314,266,166
sbiribizio,1.078,142.207,131.9,3.609,10.869,242,177,287,175
ReinerMeyer,80,142.125,1776.6,173,1.716,2.922,61,94,298
josil,200,140.228,701.1,2.998,3.298,3.375,248,204,1.193
hikerit,125,135.566,1084.5,8.045,1.067,1.483,75,52,367
pikappa79,265,132.545,500.2,3.335,2.645,1.999,301,450,399
Martj9,1.386,132.351,95.5,2.930,7.729,643,974,221,1.994
Flavio61,629,131.153,208.5,60,754,542,22,171,847
ilrobi,669,113.825,170.1,13.888,763,16,1.876,0,1
ualios,608,112.695,185.4,5.942,7.112,645,437,88,526
Aury88,754,110.789,146.9,4.497,3.826,3.139,642,119,7.878
dgitto,963,108.016,112.2,2.624,13.582,763,2.332,65,1.209
mcheck,1.438,104.650,72.8,3.295,2.538,1.279,575,180,386
voschix,1.543,101.494,65.8,1.265,18.359,351,522,843,244
gpstracks,367,100.715,274.4,350,3.298,696,179,630,908
sorcrosc,1.280,97.875,76.5,87,10.900,1.978,122,90,176
_lucia_delia,121,96.547,797.9,14.863,1,0,136,0,0
simone_girardelli,236,90.400,383.1,2.193,3.202,354,448,271,81
Goffredo,350,88.308,252.3,742,2.958,589,228,205,762
ilBiondo,1.155,86.958,75.3,1.832,1.621,292,108,3.429,632
sabas88,464,86.835,187.1,7.826,4.101,231,658,102,228
Mattia P,89,85.494,960.6,8,241,176,36,33,813
Freiheit28,1.128,85.081,75.4,283,1.645,1.490,105,14,1.132
JoeYellow,302,84.825,280.9,19,137,678,4,20,654
focus81,3.078,82.164,26.7,370,10.679,72,51,29,73
Sembola,319,80.838,253.4,370,4.574,378,32,68,70
Francesco_f2,4,79.713,19928.2,7.532,0,0,0,0,0
Ride Trail Map,299,72.796,243.5,12.073,368,59,16,15,80
paolozamp,1.966,72.255,36.8,7.731,849,269,434,112,421
vlattanzi,62,71.719,1156.8,1.138,3.227,117,106,318,237
Yiyi (itwikipedia),2.236,70.575,31.6,5.517,6.068,560,626,29,1.287
CAI Stabia,621,68.312,110.0,208,1.826,52,63,3,122
Odiug,779,68.192,87.5,4.307,2.813,792,315,296,887
Berga,606,67.310,111.1,1.784,2.298,330,39,100,346
sponge,7,65.121,9303.0,45,270,56,19,13,175
Griphon,1.593,63.334,39.8,254,5.602,722,1.371,9,386
MapAndDown,184,61.552,334.5,1,1,209,1,1,651
trekker48,318,60.265,189.5,214,1.216,1.313,38,278,702
GFS,563,59.933,106.5,1.569,627,3.093,29,78,331
Decan,468,59.438,127.0,642,2.931,3.123,270,149,621
Marco_T,774,59.421,76.8,1.791,9.457,370,1.072,177,302
SldrHartman,247,58.780,238.0,64,1.738,242,32,1.664,221
Sal73x,3.189,57.836,18.1,1.957,5.470,456,241,48,410
andgas54,230,56.918,247.5,880,1.100,2.721,9,4,220
pjhooker,140,56.850,406.1,5.622,236,33,349,5,7
vpettenati,391,56.684,145.0,378,1.170,1.226,67,257,375
pippinu,281,56.228,200.1,879,1.980,153,82,294,344
StefanB_import,29,55.417,1910.9,0,0,307,0,0,282
kkklllppp,1.112,54.883,49.4,1.185,14.025,216,943,28,138
rospus,447,54.841,122.7,4.107,3.386,42,26,4,4
procuste,256,53.742,209.9,1.035,9.491,354,626,349,107
user_870861,5,53.189,10637.8,557,0,0,1,0,0
Wave68,452,53.082,117.4,3.188,4.426,66,511,1,654
lorenzog89,1.722,52.571,30.5,1.766,3.313,557,322,260,214
Mich74,886,51.787,58.5,3.229,1.539,13,128,8,9
Arlas,67,51.711,771.8,3.867,3.300,178,924,43,172
agnostico,250,51.663,206.7,6.325,1.922,38,17,84,24
digt,47,51.218,1089.7,6.846,93,9,119,0,0
user_1974520,368,49.718,135.1,4.662,1.266,56,164,27,211
Ale_Zena_IT,378,48.058,127.1,259,4.585,27,1.421,29,451
