user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheck,1.565,1.547.839,989.0,76.371,9.717,3.775,1.065,434,1.310
SekeRob,17.712,1.125.687,63.6,14.946,49.742,17.066,6.369,1.852,36.599
Michele Aquilani,623,696.710,1118.3,61.946,22.101,1.416,1.917,252,889
woodpeck_repair,86,696.126,8094.5,86,141,3,94,5,6
hecktor,1.388,597.583,430.5,64.826,4.205,301,342,113,11
gurciln,5.182,549.060,106.0,18.226,6.906,7.557,359,6.362,4.306
fayor,1.077,539.718,501.1,19.648,42.365,1.483,10.975,351,3.146
Dino Michelini,2.916,407.045,139.6,8.371,16.561,2.866,1.008,1.143,3.638
kkklllppp,1.330,321.793,241.9,26.995,9.129,1.183,1.176,107,780
achim becker,2.763,316.289,114.5,659,3.094,4.752,229,1.364,10.002
CCCGGG,4.211,305.672,72.6,4.790,21.910,14.585,4.348,624,8.558
ross-map,4.461,274.257,61.5,24.032,14.818,1.560,1.781,175,259
vlattanzi,689,253.916,368.5,6.691,3.554,681,215,2.221,1.987
aldoct,2.756,241.889,87.8,2.975,21.682,675,614,1.794,1.825
Marcello Perathoner,2.787,237.874,85.4,804,18.519,994,1.863,179,811
Fra00,1.281,219.348,171.2,1.577,11.227,1.060,555,108,1.029
Lola Fox,609,209.066,343.3,33,1.738,959,17,476,1.746
amadvance,1.750,202.783,115.9,3.130,14.380,32,516,276,148
PaoloLombardi,2.119,200.660,94.7,1.564,11.197,4.764,333,642,1.564
fedc,2.415,184.050,76.2,3.452,14.059,3.254,2.024,640,787
sorcrosc,1.753,181.740,103.7,3.071,9.370,4.445,477,35,355
V24DRJKA,490,180.709,368.8,10,15.156,19,0,8,1
user_10901495,762,160.062,210.1,6.121,15.482,1.130,4.228,681,1.165
Martj9,2.100,150.215,71.5,3.887,10.493,2.304,1.025,553,3.066
Francoerbi41,2.059,149.480,72.6,17.264,9.963,461,3.174,816,95
ivanbranco,2.790,146.478,52.5,4.644,17.649,16.308,5.296,764,778
Cascafico,2.894,140.999,48.7,3.252,4.901,1.974,768,378,2.153
alessandrocarmeli,4.238,134.092,31.6,915,29.454,2.195,1.441,183,1.979
Antanicus,1.740,130.696,75.1,6.272,6.057,950,1.183,8,567
fabiotofy,1.392,130.014,93.4,7.967,4.701,378,466,245,284
Gior7,2.701,122.030,45.2,969,11.695,1.093,316,344,505
Alberto Starosta,53,121.198,2286.8,556,0,0,0,0,0
frasty,2.202,117.391,53.3,3.430,12.200,922,2.049,512,662
mau59,1.371,111.803,81.5,1.507,13.891,326,599,60,40
marczoutendijk,34,111.481,3278.9,0,2,4,2,0,1
Davide Lasagna,182,110.320,606.2,34,75,390,3,130,1.031
Fabiano Peddis,1.957,103.514,52.9,3.777,5.985,335,474,68,73
Alecs01,752,97.333,129.4,18.061,2.581,903,852,83,448
demon_box,2.734,97.012,35.5,5.205,7.359,1.206,3.164,680,2.482
dieterdreist,1.232,95.616,77.6,3.134,6.561,2.283,638,164,305
Andrea Del Sarto,4.660,87.116,18.7,159,19.483,169,138,353,170
usbe,457,82.427,180.4,2.116,2.278,1.089,48,47,9
tars4815,232,79.677,343.4,663,793,220,59,12,408
openpablo3,1.099,79.251,72.1,1.431,1.491,458,199,807,2.440
Goffredo,116,78.699,678.4,36,418,66,34,61,670
semrs1,75,75.823,1011.0,4,2.736,161,4,4,3
Stefanodelfarfa,1.680,72.476,43.1,246,2.661,18,43,689,47
Cortix,494,72.323,146.4,5.299,2.385,223,285,21,77
dp7,652,72.159,110.7,2.121,1.176,1.177,111,393,1.377
DnaX,1.210,72.116,59.6,2.939,7.040,631,1.350,312,358
Lupinsun,240,71.732,298.9,61,5.696,14,44,275,17
LvdT,276,71.456,258.9,2.192,4.036,526,479,190,201
