user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
Flight777,36.390,62.144,1.7,6.202,28.246,3.562,2.687,91,559
Đuro Jiří,18.940,241.275,12.7,17.738,99.168,714,24.172,75,3.726
SekeRob,11.361,2.335.706,205.6,16.682,32.347,58.914,3.872,1.942,189.709
kmpoppe (@ Mapillary Update),8.119,9.175,1.1,241,6.079,15,631,14,90
Balaabirami,6.154,175.862,28.6,16,53.599,44,13,7,87
ross-map,5.235,867.633,165.7,115.011,39.071,1.958,3.587,156,451
PasqualeD,4.578,29.867,6.5,1.376,1.980,103,1.472,2,2.339
demon_box,4.555,120.072,26.4,4.519,11.352,1.416,1.377,960,13.879
Andrea Del Sarto,4.130,48.515,11.7,216,10.402,80,108,51,66
Giovanni Forgione,3.939,454.160,115.3,4.506,11.662,14.939,669,6.761,15.285
FinixFighter,3.893,36.965,9.5,4.811,2.906,153,692,3,146
Valerio_Bozzolan,3.797,18.952,5.0,1.361,10.080,36,1.508,1,143
aa30mom,3.680,54.850,14.9,5.789,3.678,191,1.647,48,17
gurciln,3.592,552.734,153.9,7.857,7.578,6.562,950,1.396,13.694
ivanbranco,3.434,91.760,26.7,4.319,16.830,3.795,6.187,1.308,1.279
Aiman,3.422,53.359,15.6,3.788,9.909,517,1.928,103,640
gscholz,3.083,14.907,4.8,157,4.122,163,57,21,51
CCCGGG,2.870,162.284,56.5,4.643,9.359,9.095,3.121,179,5.283
Mannivu,2.795,25.651,9.2,1.061,4.856,684,1.278,325,159
domikdomik,2.724,148.983,54.7,14.874,2.538,1.748,318,340,584
Martj9,2.667,132.400,49.6,1.960,17.980,1.724,917,367,3.068
paulbrunner,2.651,97.036,36.6,8.736,2.896,228,352,7,183
Gior7,2.612,136.491,52.3,699,9.232,790,323,206,448
Dom61,2.545,78.846,31.0,2.549,6.061,377,947,30,43
mircozorzo,2.430,47.014,19.3,98,27.767,95,1.144,21,27
Fabiano Peddis,2.264,140.903,62.2,4.641,11.475,389,554,54,20
Cascafico,2.196,151.758,69.1,14.901,4.287,1.046,1.261,91,531
totera,2.187,13.777,6.3,1.287,6.214,61,1.205,13,37
EdoBoo,2.184,54.511,25.0,3.780,9.418,612,1.497,108,490
