user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheckimport,6.071,4.828.833,795.4,470.005,158.981,15.345,21.885,120.764,4.906
DarkSwan_Import,2.145,4.030.167,1878.9,375.790,1.827,76.888,1.498,662,3.688
GiuseppeAmici_IT,2.382,2.001.296,840.2,3.606,13.829,14.780,1.747,495,7.596
dvd0_CTRVenetoImport,364,1.222.271,3357.9,131.444,767,6.065,296,4,399
nuvolabianca,1.370,847.861,618.9,39.680,11.878,2.781,2.478,6.775,8.906
Arlas,625,778.290,1245.3,103.949,16.491,3.391,1.440,103,1.454
Davlak,2.994,720.993,240.8,271,72.047,8.327,377,125,42
woodpeck_repair,27,528.604,19577.9,38,353,11,9,1,1
Castaman,481,421.099,875.5,16.230,433,7.091,109,0,235
Alecs01,1.018,330.098,324.3,25.840,21.224,2.715,3.707,257,21.532
SldrHartman,813,327.026,402.2,582,3.502,6.393,1.225,3.660,810
mcheck,818,310.663,379.8,10.951,30.818,874,1.962,35.151,669
Bredy,1.797,307.191,170.9,12.242,10.649,5.494,1.813,3.645,510
Diego Guidotti,806,306.885,380.8,369,12.663,1.643,128,180,99
josil,392,303.574,774.4,8.507,7.806,3.784,536,435,1.289
Al3xius,291,294.792,1013.0,22.391,2.129,197,226,218,31.046
pikappa79,1.022,263.487,257.8,8.324,10.402,3.966,1.698,404,470
OpenGISData,80,257.667,3220.8,0,0,0,0,0,0
TheNick,1.402,240.470,171.5,749,29.646,3.550,1.543,374,24.192
aldoct,3.199,240.469,75.2,2.171,24.036,1.347,287,1.449,527
studiovega,93,235.864,2536.2,225.236,353,7,99,0,0
sponge,22,230.376,10471.6,111,1.429,206,202,91,379
Max1234-ITA,1.052,226.217,215.0,17.417,9.035,2.035,607,169,87
pippinu,425,224.529,528.3,2.726,10.829,266,386,637,410
roscolosco,584,220.355,377.3,625,19.934,210,32,905,369
albertux,935,198.581,212.4,3.457,20.898,367,1.089,152,562
