user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
Yurii Skvortsov,1.620,1.620,1.0,940,7,4,885,12,149
Danysan95,1.606,24.308,15.1,1.377,2.884,226,3.441,31,84
Marcello Perathoner,1.597,37.105,23.2,143,8.982,147,249,42,26
MarcoR,1.557,148.750,95.5,5.700,4.821,1.687,4.898,151,2.501
c674a,1.548,69.049,44.6,3.335,20.615,392,2.837,17,546
dvdzero,1.535,35.654,23.2,1.367,2.544,1.292,472,27,53
Luke197,1.515,58.922,38.9,5.232,1.071,382,35,53,293
dan980,1.514,401.871,265.4,8.492,130.967,361,8.927,167,119
scai,1.514,9.992,6.6,173,6.476,10,889,0,50
Susymala,1.513,14.553,9.6,611,2.053,94,464,142,52
Fabiano Peddis,1.505,37.666,25.0,1.703,4.390,54,226,5,20
OpenCode,1.438,8.131,5.7,656,2.456,26,783,0,96
nicola_yubo,1.430,6.508,4.6,84,2.714,7,986,0,26
gscholz,1.398,8.752,6.3,111,1.606,69,80,8,100
Brascà,1.393,7.946,5.7,635,5.234,26,730,0,100
cacaito76it,1.367,3.085,2.3,126,2.455,5,201,0,47
giopera,1.367,24.622,18.0,178,5.321,51,2.946,3,1.229
dellared,1.342,148.892,110.9,8.226,5.898,6.120,1.421,46,2.796
megaloman-it,1.341,2.378,1.8,97,411,2,1.095,2,8
Antonino_Faro,1.321,15.210,11.5,1.235,5.784,30,603,2,104
Seandebasti,1.319,22.185,16.8,877,4.530,169,1.668,42,1.641
Jrachi,1.274,62.261,48.9,660,4.875,248,240,274,158
VRN32,1.261,4.352,3.5,311,2.498,18,626,0,27
matteobott,1.247,50.608,40.6,3.120,2.531,858,669,64,2.018
AwFi,1.230,113.405,92.2,1.250,10.139,251,529,673,502
Niels Elgaard Larsen,1.209,15.267,12.6,49,4.387,101,440,8,15
Emabarto,1.196,327.296,273.7,12.483,27.333,1.712,14.457,568,9.008
Giovanni Monni,1.190,11.226,9.4,15,809,9,23,392,382
Dino Michelini,1.182,88.578,74.9,1.168,2.812,1.629,143,203,883
mtb_93,1.179,21.023,17.8,242,3.683,230,812,208,499
canfe,1.177,13.261,11.3,986,2.674,77,827,43,91
ElectrosphereX,1.173,11.058,9.4,819,2.630,81,847,9,193
Neonkaaaaa,1.155,5.006,4.3,963,1.544,26,645,0,402
Clown Pennywise,1.139,20.335,17.9,440,3.723,178,868,0,1.016
fayor,1.120,305.792,273.0,27.238,15.470,605,5.265,158,1.378
madbob,1.113,5.099,4.6,186,2.620,0,1.103,0,50
aTarom,1.107,11.805,10.7,8,180,28,5,8,142
aboc,1.071,95.700,89.4,1.813,29.832,1.417,1.062,1.129,880
Giorgio543143,1.069,84.526,79.1,4.471,7.979,1.237,824,101,706
Thebro7her,1.059,28.971,27.4,2.523,3.471,115,615,20,9
giubar,1.056,38.439,36.4,3.959,2.012,61,1.423,18,78
Curculion,1.052,5.259,5.0,481,2.951,30,434,5,184
GiovanniPen,1.034,30.345,29.3,1.201,9.787,587,2.522,35,448
Pan_Nug,1.030,5.117,5.0,1.185,95,3,33,0,0
drazde,1.029,19.487,18.9,38,2.319,22,213,18,60
