user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
Đuro Jiří,18.835,355.733,18.9,41.859,30.593,1.146,18.829,134,2.602
SekeRob,7.808,3.325.373,425.9,17.413,47.792,67.054,9.684,4.600,289.179
Mannivu,5.569,55.634,10.0,2.551,8.319,830,2.686,98,298
Martin Ligabue,5.558,41.401,7.4,1.633,10.632,317,3.063,84,415
toponomastica_comune_arenzano,5.366,1.170.029,218.0,39.007,25.090,24.521,2.264,1.784,4.269
ivanbranco,5.225,60.217,11.5,3.061,11.315,1.685,2.466,176,2.310
Yiyi (itwikipedia),5.167,179.686,34.8,7.303,42.091,442,2.157,4,4.474
Paolitosss,4.977,53.749,10.8,4.559,7.450,224,3.045,60,354
f_gonella,4.699,195.227,41.5,6.399,36.437,2.644,2.755,1.253,1.974
dp7,4.517,396.418,87.8,20.402,4.954,10.523,643,2.353,5.327
ross-map,4.316,823.989,190.9,55.082,23.371,2.762,1.729,450,2.083
demon_box,4.278,162.773,38.0,7.338,14.857,3.663,3.947,559,2.593
Andrea Del Sarto,3.768,50.895,13.5,601,6.927,80,162,244,283
mircozorzo,3.731,171.054,45.8,156,7.151,128,59.554,5,83
btcitnet,3.729,3.736,1.0,189,6,9,1.254,1,0
Dom61,3.578,96.309,26.9,4.164,15.846,262,889,42,29
Pucciotrex30,3.557,94.814,26.7,484,10.180,455,292,275,384
totera,3.107,23.798,7.7,1.353,6.622,249,2.498,6,42
wildmaps,2.906,381.912,131.4,12.768,21.880,2.720,3.200,756,3.162
aa30mom,2.850,107.565,37.7,6.048,2.854,362,1.777,14,35
Marco Tamburini,2.785,76.300,27.4,1.312,13.865,112,1.133,77,91
Paolo Camporotondo,2.765,4.789,1.7,118,593,10,330,18,107
nick1993,2.653,56.745,21.4,712,16.046,1.095,1.804,312,471
wheelmap_visitor,2.616,2.616,1.0,179,70,11,1.197,0,1
LupeGimoozaabi,2.596,39.713,15.3,3.733,2.042,476,1.566,23,58
Aluminum0173,2.555,90.128,35.3,3.082,9.391,545,2.734,5,1.066
notmyproblem1,2.503,74.290,29.7,3.172,11.665,344,1.882,246,184
DnaX,2.467,63.996,25.9,3.092,6.499,693,1.339,468,388
gigi2037,2.429,10.241,4.2,12,3.356,17,59,3,10
AlessioMela,2.301,46.983,20.4,4.021,4.926,332,2.048,38,267
aldoct,2.223,386.593,173.9,9.049,19.912,420,591,2.933,1.310
RUGGERO DEL VECCHIO,2.072,121.555,58.7,66,22.395,58,101,89,134
fabiotofy,2.067,57.655,27.9,968,5.350,499,449,37,1.219
damianeue,2.065,174.253,84.4,2.008,35.519,667,2.002,347,1.142
Martj9,2.065,177.261,85.8,3.676,8.241,4.482,914,79,2.076
ottanium,2.063,52.773,25.6,1.777,22.791,343,634,210,20
Map47,2.040,25.070,12.3,689,397,1.036,248,33,423
Francoerbi41,2.023,199.583,98.7,26.461,15.626,644,3.065,291,103
dieterdreist,2.010,398.022,198.0,5.861,5.652,5.763,1.198,86,3.446
baprischka,1.987,21.859,11.0,2.061,2.890,143,1.742,16,166
Gabriele Dri,1.944,30.111,15.5,390,9.926,564,2.817,144,1.039
CCCGGG,1.920,237.914,123.9,3.022,9.207,13.465,1.936,857,8.142
Jacopo,1.902,27.516,14.5,602,6.167,454,876,51,278
Cybermanx,1.831,72.347,39.5,2.306,15.227,814,1.565,97,414
Aiman,1.777,25.170,14.2,1.132,4.115,174,1.249,110,369
vojtechzaboril,1.746,29.619,17.0,307,7.095,67,374,92,154
Cortix,1.725,68.446,39.7,1.637,7.192,295,622,27,348
Andrea Musuruane,1.697,21.255,12.5,674,3.053,95,745,29,16
Superchilum,1.689,8.061,4.8,42,5.998,0,909,0,0
AndreaDp271,1.675,57.737,34.5,951,9.653,581,1.378,497,776
osm19,1.658,273.687,165.1,3.136,14.901,6.579,1.644,851,1.635
Steffo45,1.656,44.285,26.7,2.783,7.537,565,1.921,47,1.973
Una tantum,1.653,8.488,5.1,1.058,379,319,1.090,4,125
paulbrunner,1.643,344.607,209.7,52.693,3.263,213,744,22,49
Venom88,1.625,23.630,14.5,878,5.034,64,1.605,6,244
