user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheck,9.127,3.525.070,386.2,115.594,64.279,15.882,8.830,1.652,4.918
SekeRob,6.653,95.343,14.3,1.807,20.729,1.084,2.004,101,1.192
Jrachi,5.053,758.194,150.0,2.327,26.397,9.257,880,10.432,6.375
mircozorzo,3.988,34.980,8.8,267,12.939,101,3.776,14,80
CCCGGG,3.434,393.515,114.6,7.161,24.907,17.153,3.575,795,8.713
Giovanni Forgione,3.325,448.033,134.7,889,11.279,23.282,436,5.872,19.309
francians,3.283,41.825,12.7,1.014,3.544,336,3.021,47,113
FinixFighter,3.129,23.357,7.5,2.195,1.869,19,1.101,0,23
Marcello Rolli,3.012,7.708,2.6,1.499,908,39,85,306,91
trekker48,2.789,245.023,87.9,1.011,6.536,5.926,56,2.012,18.751
sorcrosc,2.776,142.256,51.2,5.082,10.124,706,1.464,47,228
Fabiano Peddis,2.648,152.143,57.5,4.408,4.211,304,326,123,162
Mannivu,2.521,54.284,21.5,1.997,5.821,1.188,1.660,384,170
achim becker,2.498,292.919,117.3,484,2.379,2.762,170,606,12.465
silvrin,2.449,29.430,12.0,1.696,1.659,226,163,216,221
rosario_bianco1,2.442,90.013,36.9,1.301,1.232,1.991,63,434,1.242
Dino Michelini,2.410,277.623,115.2,3.488,4.862,2.648,330,1.536,2.693
PaoloLombardi,2.344,199.477,85.1,1.477,8.515,2.855,1.064,316,2.279
aldoct,2.314,318.864,137.8,4.030,20.714,390,272,3.876,1.581
Alecs01,2.309,218.076,94.4,58.745,8.179,2.620,2.996,137,2.605
Martj9,2.286,92.682,40.5,2.727,23.777,1.500,1.218,263,1.642
canfe,2.145,45.146,21.0,1.839,4.553,342,1.800,945,289
Marcello Perathoner,2.082,91.172,43.8,197,12.073,215,881,105,324
Cascafico,2.079,90.710,43.6,796,1.900,105,1.918,106,687
Wulz,1.951,2.801,1.4,1,881,0,2,6,2
retlawb,1.938,22.477,11.6,2.469,88,162,319,42,28
