user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
Al3xius,1.663,1.118.541,672.6,67.485,10.288,4.815,1.228,3.907,31.921
Ken Hayabusa,431,669.218,1552.7,2.562,9.557,457,254,20,59
Arlas,591,607.174,1027.4,65.208,20.145,428,819,112,633
GatoSelvadego,100,574.074,5740.7,63.644,2.584,261,1.214,19,3.547
roscolosco,1.164,558.238,479.6,3.997,38.619,1.866,154,1.405,1.603
pikappa79,1.313,541.682,412.6,19.339,13.204,5.181,3.963,1.945,2.563
zarch,78,530.559,6802.0,55.748,605,1.887,1.119,2,101
Geograficamente,27,516.577,19132.5,53.673,71,49,527,95,1.230
nuvolabianca,779,431.788,554.3,19.224,6.276,533,868,2.952,2.371
dvdzero,1.252,400.980,320.3,43.879,6.053,697,1.170,150,99
Diego Guidotti,1.398,393.064,281.2,1.002,12.086,2.797,286,170,265
albertux,1.876,358.145,190.9,26.345,19.292,500,1.290,73,659
David Paleino,767,353.853,461.3,4.872,10.460,1.011,620,212,1.253
mauro742,81,340.468,4203.3,19.652,1.898,1.457,373,971,2
ilrobi,2.001,313.374,156.6,11.162,27.238,199,1.349,197,101
DarkFlash,1.189,280.448,235.9,4.635,1.726,2.013,291,11,200
Tizianos,186,269.638,1449.7,32.058,2.487,109,439,73,25
Alexander Roalter,708,263.116,371.6,4.074,4.373,2.279,233,315,1.449
Luca Dorigo,652,243.728,373.8,2.084,5.333,660,1.998,1.171,5.748
Axel2009,1.048,242.005,230.9,4.185,7.220,544,103,154,287
dieterdreist,1.172,225.181,192.1,4.752,6.958,5.160,535,671,1.445
FabioPalladino,77,213.704,2775.4,232,1.355,33,93,3,68
mcheck,2.040,209.528,102.7,13.428,2.471,979,258,223,359
Mich74,1.422,209.505,147.3,27.956,4.851,266,159,43,16
bellazambo,138,197.208,1429.0,13.000,2.149,301,87,64,265
Emistrac,225,190.555,846.9,8.659,4.893,2.086,1.036,42,671
Davlak,2.611,188.017,72.0,3.943,32.068,336,275,13,39
danyzeta,1.115,180.231,161.6,6.355,4.387,280,199,192,471
Heinz_V,666,159.977,240.2,95,11.438,166,84,199,113
matchman,234,156.859,670.3,70,4.574,166,19,157,783
jeawrong,1.228,156.772,127.7,2.170,17.613,456,1.052,149,2.474
demetrio_m,9.046,154.945,17.1,1.134,6.375,1.003,162,725,273
Udini,917,154.788,168.8,53,16.206,27,64,106,45
Francesco Viti,351,154.632,440.5,1.915,2.599,208,92,5.772,1.549
merkui,56,150.243,2682.9,17.558,269,202,228,103,156
