user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheckimport,12.682,5.089.013,401.3,364.999,110.230,16.167,5.632,16.013,6.565
fmondini,7.568,137.025,18.1,6.716,9.515,3.959,1.256,582,1.395
Sal73x,7.113,117.435,16.5,7.496,5.690,572,235,109,579
Pathumthani,6.743,55.174,8.2,2.246,2.589,2.231,467,11,11
demon_box,5.843,97.856,16.7,3.957,12.207,115,1.482,261,416
aldoct,4.648,310.639,66.8,3.331,26.591,1.378,205,4.053,2.710
Anxe,4.324,152.237,35.2,15.090,4.524,420,205,46,282
bustano,4.227,18.835,4.5,4,6.464,33,153,8,2
bvivi,4.040,49.936,12.4,203,15.418,101,175,114,16
effebi-sm,3.941,145.012,36.8,4.485,2.678,1.071,318,340,1.621
lorenzog89,3.924,128.237,32.7,4.927,6.522,1.235,787,560,1.494
vancori,3.753,229.109,61.0,1.357,8.667,140,352,583,957
dforsi,3.378,43.613,12.9,293,3.665,244,276,30,157
rumpelsocke,2.964,18.756,6.3,10,3.247,15,0,7.251,7
carths81,2.874,153.072,53.3,38,1.894,1.739,29,79,3.244
Taurus77,2.802,83.232,29.7,8.893,2.028,137,1.653,28,89
frasty,2.741,103.495,37.8,2.969,7.854,1.010,688,635,1.035
spietsnaz,2.729,17.416,6.4,289,1.360,235,188,179,209
p_map,2.673,30.533,11.4,30,5.146,14,18,3,2
marco_camagni,2.647,21.970,8.3,1,9.560,3,11,0,0
TorCguy,2.616,60.478,23.1,280,6.642,95,96,5.951,66
kurtluks,2.565,81.432,31.7,7.088,1.573,972,308,100,76
sorcrosc,2.537,127.167,50.1,82,30.558,388,95,60,33
Griphon,2.440,75.908,31.1,1.716,6.864,646,2.071,27,311
Mario1952,2.376,44.411,18.7,3.082,1.338,878,265,46,690
mircozorzo,1.991,20.860,10.5,114,4.153,144,451,12,88
focus81,1.938,64.338,33.2,51,5.829,15,21,8,4
Al Bedo Zero39,1.935,29.462,15.2,74,2.857,77,84,16,57
Martj9,1.872,124.873,66.7,4.394,6.497,1.496,881,319,1.805
Ciuppy,1.868,38.495,20.6,2.601,1.306,545,526,290,158
Massimo Belibani,1.718,10.663,6.2,495,1.354,28,130,0,0
franco56,1.699,29.929,17.6,1.718,2.318,438,166,60,116
demetrio_m,1.673,9.405,5.6,102,2.060,132,375,14,7
Davlak,1.657,51.523,31.1,53,18.704,67,80,9,6
carlo fornaciari,1.639,20.053,12.2,440,3.485,175,264,133,10
sirmmo,1.601,40.416,25.2,450,6.333,887,929,19,137
DnaX,1.563,52.613,33.7,1.994,3.678,701,535,175,212
Domenico Giannini,1.542,23.004,14.9,0,2.469,10,0,0,10
GiuseppeAmici_IT,1.459,1.980.229,1357.3,1.614,1.085,20.870,210,90,8.131
kkklllppp,1.412,73.712,52.2,1.041,19.306,209,1.358,46,163
vpettenati,1.350,348.760,258.3,52,4.466,6.493,27,894,1.649
kipple,1.347,65.516,48.6,3.194,4.757,967,501,105,403
Mich74,1.328,55.641,41.9,5.834,754,17,186,0,1
carlobenini,1.323,33.462,25.3,824,4.810,203,1.152,28,554
morsi,1.302,149.248,114.6,2.862,4.198,1.611,347,157,89
dgitto,1.288,106.832,82.9,4.968,8.517,307,6.192,72,948
ALESSANDROPATI,1.287,26.654,20.7,42,2.576,10,6,0,5
FGarg,1.284,11.933,9.3,506,2.297,124,270,3,2
roby2107,1.267,22.616,17.9,241,9.573,40,263,0,3
fracicci,1.242,34.354,27.7,2.216,2.933,29,117,52,26
luschi,1.177,25.794,21.9,472,6.181,329,368,369,54
ilBiondo,1.172,47.080,40.2,2.746,1.311,482,103,525,121
voschix,1.143,69.045,60.4,496,16.628,221,304,488,113
mapsmania,1.143,8.561,7.5,219,506,110,139,23,189
ciccionicolosi,1.128,8.109,7.2,558,833,19,62,0,21
filidant,1.119,17.709,15.8,1.082,185,177,120,21,654
adirricor,1.054,155.082,147.1,4.230,30.384,1.209,1.863,171,213
Francesco Domenico,1.035,10.228,9.9,550,855,92,188,41,124
landfahrer,967,5.950,6.2,353,93,692,59,9,164
Francesco Placco,966,54.113,56.0,1.352,3.334,1.174,996,78,1.200
Max1234-ITA,955,693.832,726.5,12.554,7.835,4.102,395,333,3.569
Pab09,952,142.753,150.0,4.028,15.101,1.708,698,171,135
openpablo3,927,89.874,97.0,4.910,2.049,985,343,527,615
MrBanana,923,17.615,19.1,728,3.355,108,269,17,59
AnyFile,923,15.485,16.8,256,5.307,60,728,11,39
fedc,922,12.790,13.9,142,1.768,186,129,12,4
noromance,912,32.960,36.1,183,897,223,53,277,940
corfede,905,166.252,183.7,1.027,24.098,439,637,965,143
Papirollo,894,60.234,67.4,3.346,2.980,168,244,67,350
Linusbolzano,885,1.086,1.2,34,466,25,82,74,12
euforbio,881,19.900,22.6,310,711,818,174,22,451
nuvolabianca,874,349.924,400.4,15.761,6.869,3.943,1.347,1.278,8.218
makimini,871,38.688,44.4,144,1.516,259,13,49,188
fayor,839,258.173,307.7,5.238,26.788,822,1.805,309,2.978
Freiheit28,830,60.484,72.9,172,1.564,740,106,5,475
jeawrong,825,44.166,53.5,1.015,3.842,318,385,350,760
Giovan Giuseppe,824,32.815,39.8,1.015,1.681,279,217,18,388
Yiyi (itwikipedia),816,30.718,37.6,2.447,1.819,204,224,25,51
Comasco,811,11.529,14.2,476,1.123,39,411,2,2
Cascafico,804,38.835,48.3,520,2.122,108,279,62,330
l2212,798,2.979,3.7,231,31,112,36,0,0
LuSirto,793,53.409,67.4,274,5.035,176,312,309,572
makakko,790,120.876,153.0,7.110,5.908,116,197,449,14
Marco_T,786,58.048,73.9,2.219,8.676,700,1.555,1.653,769
pippo_rigo,757,45.357,59.9,268,975,1.314,24,43,80
tyr_asd,755,51.162,67.8,1.751,2.568,1.091,212,143,312
frammm,751,24.114,32.1,125,6.197,18,47,1,21
