user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
DarkSwan_Import,1.095,4.274.700,3903.8,618.167,1.469,1.559,1.721,816,18
mcheck,2.913,3.708.148,1273.0,444.098,15.962,1.272,730,1.604,2.109
mcheckimport,127,2.887.363,22735.1,372.733,8.459,192,236,2.099,70
Alberto58,1.034,2.128.968,2059.0,289.955,2.126,744,483,88,46
BudSpencer63,77,1.328.200,17249.4,74.826,763,9.560,165,119,1
GiuseppeAmici_IT,1.071,783.496,731.6,52.937,36.117,688,1.205,1.954,454
Al3xius,1.397,693.230,496.2,21.030,9.071,2.886,833,5.301,29.595
dvd0_CTRVenetoImport,89,540.829,6076.7,34.835,103,8.550,70,1,63
Diego Guidotti,1.332,537.849,403.8,99,27.858,703,354,320,195
dvdzero,834,521.060,624.8,39.948,3.145,8.770,477,27,65
nuvolabianca,1.158,486.903,420.5,22.715,11.387,879,1.838,2.407,3.084
Tizianos,241,469.460,1948.0,21.977,2.888,2.655,455,255,3.077
GatoSelvadego,55,462.999,8418.2,41.295,508,119,181,569,1.081
mauriziobis,2.881,455.228,158.0,20.160,13.532,3.103,186,317,1.132
Arlas,375,408.126,1088.3,52.443,10.342,1.160,437,51,479
Alexander Roalter,840,394.619,469.8,4.857,8.174,3.111,232,301,1.737
Lykos64,853,383.665,449.8,5,23.221,133,43,463,553
merto,35,370.190,10576.9,35.128,282,13,77,3,1
bellazambo,52,330.839,6362.3,39.477,651,79,110,48,14
coso,165,307.683,1864.7,29.134,3.305,6.636,424,127,67
Davlak,3.723,297.989,80.0,411,121.714,901,667,174,59
sabas88,415,268.038,645.9,1.833,12.713,1.069,616,104,826
dieterdreist,1.630,263.861,161.9,4.630,14.692,3.467,1.313,248,395
peppo,103,260.710,2531.2,31.732,1.721,45,766,6,2
Sembola,754,249.941,331.5,4.698,6.094,2.146,145,329,390
vlattanzi,183,237.650,1298.6,11.680,10.249,422,678,772,424
pikappa79,1.171,233.702,199.6,11.034,7.276,2.984,2.375,360,2.910
kkklllppp,2.685,215.477,80.3,1.355,44.976,743,2.928,91,217
GeofixFe,1.001,209.942,209.7,3.959,14.516,1.298,817,409,194
metamorris,1.205,205.203,170.3,206,22.196,102,365,265,53
Pab09,525,200.967,382.8,11.588,11.021,1.638,960,260,532
pippinu,1.518,200.927,132.4,1.362,11.711,712,550,707,389
hotelsierra,765,199.869,261.3,6.184,5.605,478,355,214,1.262
lerks,177,196.949,1112.7,9.537,4.126,303,605,34,330
morsi,2.220,187.929,84.7,6.140,10.124,1.992,780,195,315
voschix,771,180.502,234.1,777,27.781,269,666,617,98
mikerpux,694,178.618,257.4,10.118,6.770,1.378,430,554,798
roscolosco,376,170.667,453.9,1.122,8.808,86,82,306,135
Cascafico,1.024,167.923,164.0,4.075,5.052,213,127,202,269
danyzeta,663,156.232,235.6,7.314,3.215,285,80,119,548
simone,346,154.590,446.8,17.732,253,38,55,21,10
rugamarcus,472,147.252,312.0,2.599,7.837,573,595,296,122
bersanri,254,146.659,577.4,11.878,2.031,1.249,162,25,2.525
albertux,956,137.967,144.3,4.697,11.716,351,819,52,296
Gwilbor,376,136.642,363.4,203,12.702,96,502,191,86
popeye,337,130.740,388.0,12.760,6.246,161,495,99,40
kaitu,611,125.382,205.2,2.351,12.299,626,929,958,295
sponge,26,124.924,4804.8,408,2.395,503,320,164,278
remix_tj,10,124.686,12468.6,9.524,10,9,36,0,17
demetrio_m,4.194,121.452,29.0,890,5.338,1.234,90,289,275
DarkFlash,342,120.195,351.4,807,1.984,627,57,26,489
Paolo Gianfrancesco,1.473,119.934,81.4,8.483,4.369,2.150,349,99,542
Gianluigi,220,117.171,532.6,10,10.206,7.817,103,184,12
gpstracks,308,116.786,379.2,623,5.809,178,438,181,470
josil,212,116.407,549.1,9.127,1.808,2.069,423,142,465
import_Jinx71,41,115.081,2806.9,15.418,0,89,3,0,0
Th3M4pp3r,111,110.610,996.5,31,781,6,13,0,21
zarch,10,109.584,10958.4,11.589,66,1.104,28,0,0
araner,10,109.252,10925.2,0,0,521,0,0,994
fayor,339,106.246,313.4,2.298,11.561,301,384,7,144
Baliano,351,105.080,299.4,1.676,2.085,3.027,163,309,3.038
dani64,345,104.593,303.2,621,3.188,2.611,38,252,39
Cristian1989,1.022,104.573,102.3,3.595,9.579,508,430,4,30
emmanuelecois,492,104.361,212.1,11.258,2.531,268,516,86,956
jeawrong,1.404,103.713,73.9,1.921,8.788,635,793,129,2.782
noperante,515,101.044,196.2,1.589,15.014,121,316,77,21
hobbie,287,100.804,351.2,6.324,6.592,329,322,55,62
sbiribizio,784,99.003,126.3,1.656,6.381,641,579,132,232
colasurf,1.111,98.587,88.7,70,3.646,75,521,495,277
Goffredo,606,94.873,156.6,1.374,7.402,2.383,486,170,419
nicki63,11,91.997,8363.4,1.150,147,2.974,4,20,0
TheNick,812,89.182,109.8,144,11.993,672,178,502,762
sorcrosc,865,88.846,102.7,238,14.774,95,245,66,9
Odiug,3.011,85.313,28.3,2.390,7.933,268,683,246,351
Francesco Viti,195,83.473,428.1,167,984,100,52,1.094,1.553
Geofreund1,166,81.336,490.0,4.835,6.305,398,543,181,168
BogNik,83,80.414,968.8,873,306,269,47,15,5
Dufour85,108,80.307,743.6,2.264,4.266,276,808,33,172
eljusto,223,78.709,353.0,70,6.213,180,199,121,32
flschm,257,78.690,306.2,1.366,6.717,345,338,708,163
Ken Hayabusa,354,78.118,220.7,3.904,6.979,344,402,20,161
Griphon,1.102,78.100,70.9,3.588,6.864,458,1.805,51,22
gilbomorris,204,77.435,379.6,1.693,3.946,721,421,890,272
totera,113,76.969,681.1,41,6.831,46,364,42,61
Antonio M Fasulo,291,76.962,264.5,1,622,12,9,8,60
demon_box,6.083,76.812,12.6,3.106,8.524,87,1.493,44,309
satgps,13,75.139,5779.9,8.013,64,13,21,1,0
Memme,121,74.434,615.2,9.085,2.107,38,194,0,3
LuSirto,738,74.372,100.8,806,9.274,400,1.024,378,123
trekker48,247,73.014,295.6,116,2.463,353,19,2,61
Francesco Placco,533,72.776,136.5,1.349,3.940,234,574,124,433
Catner,86,72.506,843.1,311,5.877,302,476,113,111
paolopoz,39,71.676,1837.8,6.691,183,99,35,3,6
Emistrac,59,71.439,1210.8,2.491,3.408,1.447,613,29,986
spezzi64,622,67.160,108.0,1.447,1.904,1.371,97,488,61
ilrobi,564,65.158,115.5,2.454,3.094,9,272,22,13
Malbi,907,63.233,69.7,4.579,3.442,497,278,160,157
MarcoR,258,62.622,242.7,4.427,4.102,251,769,92,128
niagara_m,96,62.413,650.1,292,354,11,54,37,9
Max1234-ITA,276,62.319,225.8,5.192,2.667,450,405,30,15
