user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
openpablo3,927,89.874,97.0,4.910,2.049,985,343,527,615
Dufour85,78,88.514,1134.8,1.251,7.969,1.373,1.791,75,876
sabas88,388,84.012,216.5,8.449,3.065,237,621,191,158
Taurus77,2.802,83.232,29.7,8.893,2.028,137,1.653,28,89
Wave68,567,82.268,145.1,6.686,7.865,95,1.039,7,290
IlBano,216,81.828,378.8,40,6.229,281,639,3.134,129
kurtluks,2.565,81.432,31.7,7.088,1.573,972,308,100,76
Gianfranco2014,48,81.168,1691.0,7.073,839,26,7,5,7
Aury88,689,80.991,117.5,2.744,3.420,859,8.337,147,10.564
albertux,489,77.443,158.4,8.889,2.691,123,271,22,84
Griphon,2.440,75.908,31.1,1.716,6.864,646,2.071,27,311
kkklllppp,1.412,73.712,52.2,1.041,19.306,209,1.358,46,163
Skombi,213,69.734,327.4,418,1.942,1.125,133,135,537
voschix,1.143,69.045,60.4,496,16.628,221,304,488,113
jaimemd,562,65.981,117.4,191,1.312,1.498,31,190,717
kipple,1.347,65.516,48.6,3.194,4.757,967,501,105,403
focus81,1.938,64.338,33.2,51,5.829,15,21,8,4
achim becker,290,63.705,219.7,5.023,1.295,651,178,33,278
Freiheit28,830,60.484,72.9,172,1.564,740,106,5,475
TorCguy,2.616,60.478,23.1,280,6.642,95,96,5.951,66
Papirollo,894,60.234,67.4,3.346,2.980,168,244,67,350
Marco_T,786,58.048,73.9,2.219,8.676,700,1.555,1.653,769
Puccia,647,56.369,87.1,108,4.788,47,317,1.403,207
Sen Atto,313,56.341,180.0,618,2.084,15,6,85,44
mtbtricase,375,56.264,150.0,5,7.527,11,19,7,6
Mich74,1.328,55.641,41.9,5.834,754,17,186,0,1
kaitu,520,55.623,107.0,2.500,6.228,227,1.091,350,170
Pathumthani,6.743,55.174,8.2,2.246,2.589,2.231,467,11,11
Francesco Placco,966,54.113,56.0,1.352,3.334,1.174,996,78,1.200
LuSirto,793,53.409,67.4,274,5.035,176,312,309,572
GeofixFe,404,52.814,130.7,1.290,4.227,345,412,125,36
Simone Saviolo,404,52.647,130.3,1.586,8.457,978,510,86,357
DnaX,1.563,52.613,33.7,1.994,3.678,701,535,175,212
Davlak,1.657,51.523,31.1,53,18.704,67,80,9,6
procuste,204,51.519,252.5,1.162,7.461,667,451,999,145
tyr_asd,755,51.162,67.8,1.751,2.568,1.091,212,143,312
Goffredo,481,50.523,105.0,1.008,4.283,607,276,250,1.056
bvivi,4.040,49.936,12.4,203,15.418,101,175,114,16
JulienBalas,15,47.970,3198.0,193,414,20,14,2,1
Decan,490,47.249,96.4,239,1.616,3.193,120,47,621
ilBiondo,1.172,47.080,40.2,2.746,1.311,482,103,525,121
Adriano Ingallinera,166,46.919,282.6,2.429,1.705,14,37,0,2
