user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheckimport,12.682,5.089.013,401.3,364.999,110.230,16.167,5.632,16.013,6.565
DarkSwan_Import,610,2.691.808,4412.8,283.135,1.636,1.508,993,226,24
GiuseppeAmici_IT,1.459,1.980.229,1357.3,1.614,1.085,20.870,210,90,8.131
Max1234-ITA,955,693.832,726.5,12.554,7.835,4.102,395,333,3.569
dvd0_CTRVenetoImport,123,490.131,3984.8,60.185,106,4.803,93,0,119
Alecs01,534,478.004,895.1,44.296,36.147,5.820,7.733,1.973,28.483
import edifici palermo 2014,27,399.615,14800.6,54.666,5,0,3,0,0
nuvolabianca,874,349.924,400.4,15.761,6.869,3.943,1.347,1.278,8.218
vpettenati,1.350,348.760,258.3,52,4.466,6.493,27,894,1.649
aldoct,4.648,310.639,66.8,3.331,26.591,1.378,205,4.053,2.710
SIT Comune di Rimini,7,284.272,40610.3,0,11,0,0,0,1
sabas-import,40,270.767,6769.2,28.978,244,45,118,4,45
fayor,839,258.173,307.7,5.238,26.788,822,1.805,309,2.978
sponge,16,255.914,15994.6,132,495,121,95,52,268
RColombo,115,251.341,2185.6,19.812,1.268,6,118,3,12
pnorman_mechanical,14,251.331,17952.2,85,124,6,2,0,0
Arlas,224,236.480,1055.7,27.433,8.349,754,1.158,430,730
vancori,3.753,229.109,61.0,1.357,8.667,140,352,583,957
OpenGISData,131,228.395,1743.5,25,1,0,18,0,0
alessandrob,21,225.984,10761.1,1.773,891,249,5,3,1.254
user_870861,290,216.904,747.9,74.507,67,53,931,6,0
ualios,286,206.574,722.3,5.245,13.072,495,1.014,325,828
gss272417,308,180.681,586.6,13.058,429,219,67,0,360
josil,285,175.087,614.3,3.831,4.488,3.139,177,220,1.160
Fredie,85,170.604,2007.1,4.841,4.404,6.558,608,2.708,2.432
corfede,905,166.252,183.7,1.027,24.098,439,637,965,143
adirricor,1.054,155.082,147.1,4.230,30.384,1.209,1.863,171,213
carths81,2.874,153.072,53.3,38,1.894,1.739,29,79,3.244
Anxe,4.324,152.237,35.2,15.090,4.524,420,205,46,282
morsi,1.302,149.248,114.6,2.862,4.198,1.611,347,157,89
pippinu,473,145.045,306.6,1.747,9.263,302,309,504,511
effebi-sm,3.941,145.012,36.8,4.485,2.678,1.071,318,340,1.621
Pab09,952,142.753,150.0,4.028,15.101,1.708,698,171,135
pikappa79,414,138.239,333.9,4.501,4.766,1.807,706,621,676
fmondini,7.568,137.025,18.1,6.716,9.515,3.959,1.256,582,1.395
Andrea Borruso,71,135.005,1901.5,7.704,20,0,9,0,118
lorenzog89,3.924,128.237,32.7,4.927,6.522,1.235,787,560,1.494
sorcrosc,2.537,127.167,50.1,82,30.558,388,95,60,33
Martj9,1.872,124.873,66.7,4.394,6.497,1.496,881,319,1.805
tungstentt,144,123.825,859.9,10.911,7.745,666,737,502,127
marco zudetic,150,121.287,808.6,17.622,433,179,19,16,881
makakko,790,120.876,153.0,7.110,5.908,116,197,449,14
gpstracks,302,120.207,398.0,407,2.828,575,303,273,766
wiso_dbtopo_lodi,83,120.054,1446.4,1,27,284,928,0,96.759
sbiribizio,745,119.893,160.9,2.725,8.167,392,262,247,424
Sembola,485,117.695,242.7,948,5.916,655,41,44,164
Sal73x,7.113,117.435,16.5,7.496,5.690,572,235,109,579
TheNick,473,112.147,237.1,218,9.537,1.230,469,293,1.987
dani64,281,109.939,391.2,4.248,1.612,4.189,45,218,419
dgitto,1.288,106.832,82.9,4.968,8.517,307,6.192,72,948
frasty,2.741,103.495,37.8,2.969,7.854,1.010,688,635,1.035
SldrHartman,573,103.251,180.2,255,5.594,600,50,6.309,227
arcanma,673,102.890,152.9,494,8.806,637,364,343,137
demon_box,5.843,97.856,16.7,3.957,12.207,115,1.482,261,416
dino57,289,97.636,337.8,3.996,750,5.645,10,141,41
woodpeck_repair,21,96.942,4616.3,7,37,2,68,2,230
simone_girardelli,250,93.204,372.8,4.087,2.869,169,409,1.081,192
fabrylama,619,90.822,146.7,4.214,2.195,734,221,41,267
