user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
Pathumthani,18.300,160.399,8.8,6.216,11.709,5.310,2.341,96,1.134
mcheckimport,11.262,4.799.455,426.2,432.820,52.484,21.809,5.990,5.030,4.665
fedc,6.384,211.322,33.1,5.523,21.840,4.678,1.898,120,1.138
demon_box,6.350,169.926,26.8,7.229,16.152,299,3.431,1.041,1.801
aldoct,3.583,264.337,73.8,11.375,22.217,1.067,270,1.602,1.444
vancori,3.246,184.986,57.0,2.170,9.139,324,843,717,1.148
Sal73x,3.189,57.836,18.1,1.957,5.470,456,241,48,410
focus81,3.078,82.164,26.7,370,10.679,72,51,29,73
spietsnaz,2.966,23.778,8.0,222,1.494,511,140,131,370
bvivi,2.817,42.846,15.2,752,7.898,189,192,724,147
roby2107,2.498,45.158,18.1,2.121,11.609,239,1.430,259,21
luschi,2.459,41.265,16.8,879,10.803,709,521,935,263
demetrio_m,2.303,23.074,10.0,440,4.675,39,74,91,21
Yiyi (itwikipedia),2.236,70.575,31.6,5.517,6.068,560,626,29,1.287
paolozamp,1.966,72.255,36.8,7.731,849,269,434,112,421
corfede,1.878,185.640,98.8,2.399,22.564,1.265,1.255,361,280
ALESSANDROPATI,1.861,36.442,19.6,23,4.812,11,20,0,2
lorenzog89,1.722,52.571,30.5,1.766,3.313,557,322,260,214
ratrun,1.711,20.708,12.1,198,5.925,66,35,6,7
AlfredoSP,1.623,40.217,24.8,29,3.968,3,4,8,18
Griphon,1.593,63.334,39.8,254,5.602,722,1.371,9,386
marco_camagni,1.571,10.367,6.6,3,6.607,4,27,0,0
carlobenini,1.552,37.632,24.2,622,6.140,309,725,27,757
voschix,1.543,101.494,65.8,1.265,18.359,351,522,843,244
dkwolf,1.464,8.865,6.1,76,46,6,1,0,10
mircozorzo,1.449,241.660,166.8,133,3.460,6.239,550,39,210
Pab09,1.447,591.266,408.6,56.436,16.690,4.311,1.105,7.390,7.388
mcheck,1.438,104.650,72.8,3.295,2.538,1.279,575,180,386
Davlak,1.434,144.619,100.9,48,120.130,34,33,147,15
p_map,1.387,15.156,10.9,61,2.375,45,62,6,6
Martj9,1.386,132.351,95.5,2.930,7.729,643,974,221,1.994
Alessio Guiggi,1.337,11.350,8.5,484,939,84,197,2,33
sorcrosc,1.280,97.875,76.5,87,10.900,1.978,122,90,176
arcanma,1.202,316.112,263.0,505,15.291,819,370,247,144.140
hh725,1.158,38.068,32.9,160,885,2.303,111,170,131
ilBiondo,1.155,86.958,75.3,1.832,1.621,292,108,3.429,632
Frederico98,1.150,33.690,29.3,1.646,346,761,154,374,1.356
Freiheit28,1.128,85.081,75.4,283,1.645,1.490,105,14,1.132
kkklllppp,1.112,54.883,49.4,1.185,14.025,216,943,28,138
gnuckx,1.112,13.186,11.9,445,2.503,10,456,20,400
MrBanana,1.099,18.979,17.3,168,3.742,113,338,21,45
sbiribizio,1.078,142.207,131.9,3.609,10.869,242,177,287,175
nuvolabianca,1.069,380.897,356.3,12.161,12.091,2.952,3.835,652,14.934
PaoloRE1981,1.037,16.468,15.9,328,1.855,744,357,162,569
effebi-sm,1.018,23.535,23.1,626,758,202,281,143,197
Alerico,1.001,21.216,21.2,3.198,345,85,236,23,2
rubinol,988,6.656,6.7,917,28,29,44,0,23
Molko,987,12.404,12.6,56,2.968,178,101,13,164
dgitto,963,108.016,112.2,2.624,13.582,763,2.332,65,1.209
Paolo Gianfrancesco,954,37.525,39.3,2.416,1.494,441,138,11,386
morsi,945,144.193,152.6,5.373,3.799,1.354,314,266,166
landfahrer,923,8.485,9.2,214,65,1.294,27,3,369
Spirito Libero,912,22.514,24.7,468,1.654,145,163,51,142
Mich74,886,51.787,58.5,3.229,1.539,13,128,8,9
achim becker,853,149.309,175.0,12.276,3.717,1.428,647,375,1.535
dan980,845,195.282,231.1,4.552,9.221,8.529,1.023,227,1.252
geotracer,833,10.311,12.4,102,775,43,24,19,86
abel801,831,2.793,3.4,7,865,5,3,0,5
Marco Barbieri70,823,27.966,34.0,49,2.522,47,25,54,478
Puccia,801,26.263,32.8,67,2.383,31,122,386,142
Elia Z,798,45.234,56.7,216,2.471,122,130,29,55
select,792,6.960,8.8,296,1.527,5,353,8,111
maremareper,784,22.196,28.3,1.682,685,67,31,0,10
Odiug,779,68.192,87.5,4.307,2.813,792,315,296,887
Marco_T,774,59.421,76.8,1.791,9.457,370,1.072,177,302
Rallysta74,762,39.755,52.2,701,3.429,89,179,24,16
sterov,755,17.359,23.0,132,2.287,472,2,29,49
Aury88,754,110.789,146.9,4.497,3.826,3.139,642,119,7.878
Cascafico,754,40.251,53.4,553,2.672,47,500,213,107
ruph,750,9.888,13.2,260,772,60,4,4,1
carlo fornaciari,750,3.967,5.3,80,895,25,34,63,1
dforsi,743,5.700,7.7,89,938,73,24,27,22
adirricor,737,179.268,243.2,9.611,27.690,702,1.146,89,649
Max1234-ITA,736,1.107.508,1504.8,13.079,8.618,2.718,525,663,6.992
Claudio Fimognari,728,20.889,28.7,15,878,16,1,15,18
kaitu,727,149.785,206.0,14.322,5.901,366,1.499,682,522
alexbo,723,13.349,18.5,971,401,3,19,0,0
bubix,696,4.799,6.9,265,622,26,343,25,312
Davideferr,692,12.636,18.3,251,917,30,46,72,15
makermap,692,2.090,3.0,15,926,3,13,0,0
mattio,683,40.360,59.1,22,3.031,89,25,174,5
loretrango,680,29.536,43.4,2.846,397,43,59,1,61
tyr_asd,679,43.883,64.6,1.907,2.411,640,197,138,202
Zerrossetto,675,16.959,25.1,439,1.927,163,342,53,28
ilrobi,669,113.825,170.1,13.888,763,16,1.876,0,1
sirmmo,657,16.185,24.6,165,5.428,185,390,3,49
softcake,646,23.867,36.9,62,1.481,1.145,27,40,52
Flavio61,629,131.153,208.5,60,754,542,22,171,847
CAI Stabia,621,68.312,110.0,208,1.826,52,63,3,122
Carlo55,620,6.602,10.6,544,193,81,107,14,5
fs25,616,4.454,7.2,112,1.021,60,106,1,231
EppesuigOSM,611,8.536,14.0,876,883,149,251,2,193
DnaX,608,28.495,46.9,943,2.708,150,273,36,72
ualios,608,112.695,185.4,5.942,7.112,645,437,88,526
Berga,606,67.310,111.1,1.784,2.298,330,39,100,346
Al Bedo Zero39,606,10.629,17.5,494,641,7,25,1,116
@@@@,606,21.946,36.2,87,773,9,13,1,25
stefanoruster,598,6.697,11.2,8,805,3,1,31,0
Constable,590,10.286,17.4,252,1.218,61,136,50,8
makakko,579,146.587,253.2,11.851,5.572,213,338,581,28
