user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
demon_box,6.083,76.812,12.6,3.106,8.524,87,1.493,44,309
demetrio_m,4.194,121.452,29.0,890,5.338,1.234,90,289,275
Davlak,3.723,297.989,80.0,411,121.714,901,667,174,59
Odiug,3.011,85.313,28.3,2.390,7.933,268,683,246,351
mcheck,2.913,3.708.148,1273.0,444.098,15.962,1.272,730,1.604,2.109
mauriziobis,2.881,455.228,158.0,20.160,13.532,3.103,186,317,1.132
kkklllppp,2.685,215.477,80.3,1.355,44.976,743,2.928,91,217
morsi,2.220,187.929,84.7,6.140,10.124,1.992,780,195,315
dforsi,2.019,9.362,4.6,188,2.307,158,151,51,106
OSMF Redaction Account,1.882,48.030,25.5,113,8.450,147,387,210,165
klauke,1.775,49.215,27.7,3.678,2.354,832,235,284,230
dieterdreist,1.630,263.861,161.9,4.630,14.692,3.467,1.313,248,395
pippinu,1.518,200.927,132.4,1.362,11.711,712,550,707,389
Giardia,1.494,14.896,10.0,372,3.692,46,766,10,37
Paolo Gianfrancesco,1.473,119.934,81.4,8.483,4.369,2.150,349,99,542
jeawrong,1.404,103.713,73.9,1.921,8.788,635,793,129,2.782
Al3xius,1.397,693.230,496.2,21.030,9.071,2.886,833,5.301,29.595
mircozorzo,1.368,36.018,26.3,39,3.925,64,154,32,64
AnyFile,1.348,34.308,25.5,534,9.372,63,994,48,42
Diego Guidotti,1.332,537.849,403.8,99,27.858,703,354,320,195
Gianluca67,1.321,25.808,19.5,1.353,1.366,71,309,2,229
Rita Pampaloni,1.308,47.773,36.5,397,5.694,44,465,320,132
scratera,1.293,48.055,37.2,5.532,1.269,578,208,30,169
gigi2037,1.255,37.382,29.8,1.081,8.637,71,425,2,11
_fabian_,1.214,56.586,46.6,243,7.110,194,237,63,182
metamorris,1.205,205.203,170.3,206,22.196,102,365,265,53
pikappa79,1.171,233.702,199.6,11.034,7.276,2.984,2.375,360,2.910
nuvolabianca,1.158,486.903,420.5,22.715,11.387,879,1.838,2.407,3.084
colasurf,1.111,98.587,88.7,70,3.646,75,521,495,277
Griphon,1.102,78.100,70.9,3.588,6.864,458,1.805,51,22
DarkSwan_Import,1.095,4.274.700,3903.8,618.167,1.469,1.559,1.721,816,18
tyr_asd,1.078,55.326,51.3,446,6.574,498,252,97,111
GiuseppeAmici_IT,1.071,783.496,731.6,52.937,36.117,688,1.205,1.954,454
Alberto58,1.034,2.128.968,2059.0,289.955,2.126,744,483,88,46
Cascafico,1.024,167.923,164.0,4.075,5.052,213,127,202,269
Cristian1989,1.022,104.573,102.3,3.595,9.579,508,430,4,30
GeofixFe,1.001,209.942,209.7,3.959,14.516,1.298,817,409,194
albertux,956,137.967,144.3,4.697,11.716,351,819,52,296
Malbi,907,63.233,69.7,4.579,3.442,497,278,160,157
rovinatissimo,906,37.702,41.6,168,2.430,147,104,68,65
Tiziano Zorzenon,896,46.193,51.6,448,7.254,53,218,76,30
ALn_668,866,46.969,54.2,823,4.111,186,439,9,277
sorcrosc,865,88.846,102.7,238,14.774,95,245,66,9
Lykos64,853,383.665,449.8,5,23.221,133,43,463,553
Alexander Roalter,840,394.619,469.8,4.857,8.174,3.111,232,301,1.737
dvdzero,834,521.060,624.8,39.948,3.145,8.770,477,27,65
DnaX,822,37.657,45.8,248,2.997,81,112,98,6
TheNick,812,89.182,109.8,144,11.993,672,178,502,762
sbiribizio,784,99.003,126.3,1.656,6.381,641,579,132,232
voschix,771,180.502,234.1,777,27.781,269,666,617,98
Vespucci,768,9.888,12.9,55,1.079,9,141,32,70
maxiclimb,766,34.088,44.5,1.271,1.411,22,56,56,47
hotelsierra,765,199.869,261.3,6.184,5.605,478,355,214,1.262
Sembola,754,249.941,331.5,4.698,6.094,2.146,145,329,390
LuSirto,738,74.372,100.8,806,9.274,400,1.024,378,123
mikerpux,694,178.618,257.4,10.118,6.770,1.378,430,554,798
Sergio P,690,17.363,25.2,247,778,110,52,5,210
Walter Schlögl,685,3.624,5.3,400,1.008,26,243,0,774
danyzeta,663,156.232,235.6,7.314,3.215,285,80,119,548
Paolo mappeR,661,17.776,26.9,48,1.755,100,58,17,6
gscholz,655,35.664,54.4,196,2.477,234,48,99,117
bvivi,652,22.542,34.6,1.396,7.131,51,106,62,3
korabi,633,17.354,27.4,48,2.464,11,86,4,0
Mike FABIAN,629,2.935,4.7,89,240,1,266,1,23
spezzi64,622,67.160,108.0,1.447,1.904,1.371,97,488,61
imagic,612,37.997,62.1,153,8.926,181,225,46,123
kaitu,611,125.382,205.2,2.351,12.299,626,929,958,295
Goffredo,606,94.873,156.6,1.374,7.402,2.383,486,170,419
steefan,600,39.262,65.4,14,1.319,25,74,27,33
glaucos,598,21.070,35.2,199,1.879,5,159,84,59
bmarco,570,33.078,58.0,4.475,201,211,46,0,3
