user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
demon_box,6.638,137.259,20.7,5.860,16.031,2.150,3.594,1.208,2.954
billi55,5.885,69.780,11.9,6.574,2.596,1.125,108,8,6.081
Dino Michelini,5.589,275.085,49.2,5.408,10.574,5.939,362,860,3.836
mircozorzo,5.266,38.714,7.4,539,23.439,24,2.352,23,61
mcheck,4.824,7.827.546,1622.6,903.903,38.535,12.454,6.965,1.870,3.130
Jrachi,4.528,679.074,150.0,3.505,7.128,9.923,880,1.722,6.712
Jinx71,3.833,39.347,10.3,175,1.850,3.223,47,75,449
Francoerbi41,3.476,88.625,25.5,3.531,9.557,484,2.730,2.175,880
canfe,3.239,33.380,10.3,1.327,5.632,147,875,491,291
Martj9,3.126,89.868,28.7,2.860,25.732,835,1.388,256,1.385
AlfredoSP,3.077,83.724,27.2,4,7.311,62,21,57,69
Marcello Perathoner,2.888,67.842,23.5,839,10.313,1.034,896,294,789
IlBano,2.770,58.030,20.9,1.024,9.680,239,135,2.187,225
PaoloLombardi,2.766,204.892,74.1,5.681,12.172,1.222,722,1.179,1.348
cxc,2.721,253.209,93.1,22.173,17.726,598,4.023,111,521
tolioalessandro,2.615,37.540,14.4,477,8.280,149,196,1.285,184
Pepilepioux,2.515,10.295,4.1,3,8.947,70,3,41,1
Dingo67,2.384,23.763,10.0,17,9.236,38,43,636,7
francians,2.343,19.936,8.5,983,3.308,84,1.400,23,60
Fabiano Peddis,2.188,55.944,25.6,1.477,4.015,214,330,60,159
aldoct,2.182,314.831,144.3,2.302,19.376,401,439,3.063,1.458
trekker48,1.948,306.990,157.6,3.324,8.222,4.124,211,802,9.440
ENZ111,1.904,22.729,11.9,1.683,5.129,229,217,118,49
mascalzone67,1.806,3.194,1.8,380,25,8,643,0,2
Sauro_41,1.802,52.441,29.1,4.159,2.318,672,526,34,643
b-jazz-bot,1.801,11.613,6.4,2.396,573,226,3.084,2,50
sorcrosc,1.787,81.261,45.5,3.526,10.462,417,588,52,67
Pathumthani,1.760,10.873,6.2,189,1.583,89,232,20,89
Mannivu,1.745,37.086,21.3,2.036,7.717,591,1.143,601,59
achim becker,1.745,201.448,115.4,122,590,1.743,51,498,9.256
LuSirto,1.695,69.534,41.0,1.012,4.820,764,1.206,1.037,791
fedc,1.685,104.765,62.2,2.786,13.410,1.171,699,325,221
sara di giorgio,1.649,28.609,17.3,36,10.831,41,3,2,9
DnaX,1.612,69.209,42.9,3.752,5.526,672,839,258,151
mhdrahm,1.588,17.300,10.9,2,4.300,14,1,0,0
dvdzero,1.573,24.386,15.5,2.075,5.724,349,651,9,32
Andrea Del Sarto,1.552,22.580,14.5,286,3.997,85,193,92,26
