user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
SekeRob,7.834,3.338.117,426.1,15.317,36.485,54.505,8.694,3.804,183.953
ross-map,6.037,1.474.021,244.2,161.884,38.613,7.118,2.142,270,5.513
toponomastica_comune_arenzano,2.141,1.238.945,578.7,30.035,23.144,10.335,2.563,2.017,1.680
Đuro Jiří,40.886,813.734,19.9,50.671,115.860,3.473,39.335,782,6.992
DabMK,1.338,553.026,413.3,14.514,50.771,7.535,5.567,5.709,6.307
Agh,176,540.201,3069.3,681,123,16,16,534.476,24
CCCGGG,4.563,509.535,111.7,10.587,16.890,32.875,4.063,665,16.466
Michele Aquilani,661,452.265,684.2,37.890,15.571,1.778,1.484,48,966
wildmaps,619,413.678,668.3,12.474,4.255,561,723,2.960,1.703
fayor,1.191,395.383,332.0,16.090,28.834,936,7.831,165,2.098
damianeue,2.538,324.856,128.0,3.005,60.331,1.037,2.978,241,2.305
aldoct,2.355,287.490,122.1,4.469,15.990,504,576,3.099,1.070
granpasso811,673,279.441,415.2,38,2.307,32,102,20.291,208
branco-revert,93,278.423,2993.8,276.666,69,25,117,12,17
IlBano,496,272.390,549.2,123,8.340,11.172,171,11.218,1.903
hecktor,872,267.847,307.2,30.812,3.325,227,241,170,29
dp7,2.927,263.358,90.0,4.647,3.417,6.697,374,683,4.476
Pab09,202,263.074,1302.3,9.082,4.936,292,265,1.516,163
DCampa,211,244.240,1157.5,80,520,7.304,274,54,340
lorenzo23622,832,218.291,262.4,393,31.369,816,116,1.298,214
Francoerbi41,1.556,215.510,138.5,29.159,13.000,519,2.471,317,109
mau59,894,213.780,239.1,477,44.510,355,463,26,217
dieterdreist,1.151,209.865,182.3,4.532,4.574,6.212,519,169,1.939
HaPe-CZ,3.314,202.973,61.2,10.158,9.017,1.234,610,313,648
user_8y978a,335,196.092,585.3,5.969,6.316,10.361,1.674,460,4.964
ivanbranco,4.973,194.409,39.1,3.683,9.702,9.173,4.219,458,36.130
Friendly_Ghost,263,190.300,723.6,2.212,4.556,11.302,615,143,1.563
gurciln,1.589,180.784,113.8,5.934,2.116,1.364,47,653,1.873
Max1234-ITA,584,161.150,275.9,2.895,4.027,3.381,482,379,1.279
