user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheckimport,1.778,1.316.707,740.6,31.370,20.542,10.810,1.548,832,2.169
mcheck,1.711,676.125,395.2,41.584,19.565,4.706,1.864,709,631
Max Tenerelli,979,645.062,658.9,540,8.613,3.522,234,534,8.623
dan980,598,612.899,1024.9,7.834,41.660,5.063,703,10.583,319
IlBano,789,547.493,693.9,43.487,29.393,1.092,562,683,602
Michele Aquilani,1.170,515.724,440.8,61.646,9.631,789,1.232,129,1.050
aldoct,3.660,450.465,123.1,2.528,29.508,814,488,4.621,1.449
Alecs01,1.216,392.626,322.9,51.442,16.386,6.212,5.292,414,4.897
Pab09,822,351.207,427.3,40.216,5.836,505,531,164,120
billi55,21.547,339.620,15.8,7.072,1.773,13.123,701,48,45.545
fayor,466,338.125,725.6,8.499,19.951,535,922,464,917
Ale_Zena_IT,2.181,318.844,146.2,6.541,31.117,216,2.310,124,299
JPMichael,686,278.952,406.6,35.648,276,366,256,1,31
sorcrosc,1.831,269.233,147.0,4.252,28.140,828,1.711,153,166
PMJx,351,247.141,704.1,1.714,7.692,2.544,367,34,11.371
achim becker,2.345,243.676,103.9,561,977,2.205,134,1.166,12.016
Dino Michelini,834,218.947,262.5,10.823,9.004,1.836,498,224,976
pikappa79,507,213.533,421.2,5.558,4.303,2.266,647,1.091,3.101
Davide_sd,471,210.433,446.8,39,11.539,105,53,42,25
Andrea Musuruane import,39,209.827,5380.2,20.845,721,16,203,5,16
fedc,2.608,209.574,80.4,2.758,16.680,3.724,782,1.142,841
corfede,1.057,184.099,174.2,11.891,15.952,1.041,1.295,139,535
Fra00,1.197,171.094,142.9,5.305,13.273,771,532,74,220
Francoerbi41,4.380,168.120,38.4,1.765,12.181,637,1.918,6.868,713
user_8331873,370,153.054,413.7,15.274,4.343,781,380,42,1.379
cxc,2.823,152.596,54.1,6.192,8.427,860,905,326,754
ProvinciaBiella_import,43,151.312,3518.9,15.929,654,100,242,20,46
Marco_Fix,275,146.958,534.4,7.059,10.602,229,1.078,427,149
demon_box,8.653,140.737,16.3,11.274,12.673,2.151,3.867,6.484,3.343
gpstracks,302,110.715,366.6,153,2.230,424,101,303,851
roys2728,465,108.402,233.1,7.972,3.878,3.734,135,771,153
Martin Borsje,400,100.176,250.4,514,275,559,29,4.569,291
Junk_GNC,317,98.110,309.5,141,393,3.366,30,33,1.922
Pedisa,387,89.283,230.7,5.360,3.425,395,277,62,114
Wolfking7C4,397,86.677,218.3,8.953,5.668,290,337,3,234
Riccardo Pastocchi,1.195,86.596,72.5,7.899,5.488,118,1.056,4,380
Leonorf,746,85.925,115.2,4,3.161,49,7,15,26
usbe,1.959,85.464,43.6,3.426,6.649,390,594,142,244
procuste,254,84.003,330.7,1.405,11.752,1.020,786,545,125
maurizioa,468,83.297,178.0,2.663,4.091,1.029,715,260,832
Mich74,740,82.954,112.1,9.029,2.664,23,78,4,2
walter1967sa,941,80.768,85.8,1.226,1.976,1.116,69,142,630
dieterdreist,759,79.420,104.6,2.757,2.267,1.807,423,119,133
LuSirto,2.353,79.208,33.7,1.776,9.195,1.353,977,735,498
Marco Pedro,128,77.794,607.8,20.427,266,58,258,3,2
imattia89,342,77.722,227.3,186,1.091,6.172,129,86,201
LvdT,513,76.723,149.6,1.938,3.587,727,601,72,307
Aury88,532,75.038,141.0,3.185,3.015,294,545,536,1.776
josil,130,71.481,549.9,647,1.772,1.988,58,107,1.661
vancori,537,68.894,128.3,380,3.196,63,129,149,128
Dante Torreggiani,3.267,67.415,20.6,397,3.811,1.339,169,850,185
Martj9,2.265,65.229,28.8,4.402,15.566,1.068,588,156,1.333
nuvolabianca,351,61.619,175.6,2.571,3.208,1.647,858,412,2.303
gigi2037,1.283,60.705,47.3,138,5.351,155,157,227,260
dgitto,799,60.127,75.3,2.723,5.965,233,824,31,164
osm_saint-louis,305,60.011,196.8,1.793,1.716,416,26,310,182
