user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
SekeRob,7.613,3.024.993,397.3,15.681,25.667,73.507,10.489,2.189,277.940
ross-map,7.607,2.143.736,281.8,255.639,69.555,3.818,3.111,441,2.853
toponomastica_comune_arenzano,2.907,1.387.716,477.4,48.137,37.040,12.966,6.229,705,2.798
fayor,1.377,733.823,532.9,28.054,54.298,916,11.921,1.016,1.156
Michele Aquilani,614,517.423,842.7,43.725,19.223,2.594,2.161,157,1.058
hecktor,1.199,448.526,374.1,46.810,3.948,478,385,228,56
Đuro Jiří,21.185,435.153,20.5,29.709,60.531,1.996,24.162,548,2.831
DabMK,1.549,389.162,251.2,13.358,51.875,3.162,3.381,1.865,4.582
aldoct,2.896,339.231,117.1,4.587,23.487,1.139,1.143,3.290,1.446
gurciln,1.506,289.339,192.1,4.906,2.285,938,112,1.165,6.212
lukasbrunner,920,267.307,290.6,10.703,8.815,5.284,1.011,597,5.408
CCCGGG,3.188,250.775,78.7,5.105,14.568,15.709,3.479,541,5.166
Giovanni Forgione,1.169,238.026,203.6,333,3.501,5.811,118,2.949,13.348
Cascafico,1.278,237.264,185.7,26.908,3.100,376,594,212,508
ivanbranco,4.294,215.037,50.1,41.072,14.004,8.187,5.100,639,34.419
LvdT,262,214.622,819.2,5.570,6.115,1.070,660,260,383
lorenzo23622,1.226,199.710,162.9,237,34.431,1.020,139,995,229
pboscherini,2.909,190.076,65.3,1.962,12.506,1.676,1.456,930,8.232
Emanuele Lorenzo Corti,1.045,189.441,181.3,5.986,4.011,1.111,249,95,1.224
pikappa79,312,186.280,597.1,2.991,2.598,2.617,313,973,950
DaveMzp,1.200,185.184,154.3,14.488,8.451,2.590,1.310,801,1.499
George Sears,414,178.702,431.6,445,4.820,5.492,573,90,1.589
arcanma,411,177.947,433.0,3.044,11.014,861,984,500,374
Plaintelive,775,175.094,225.9,4.211,12.680,2.071,3.485,130,20.886
Francoerbi41,1.479,174.529,118.0,25.371,9.732,457,2.766,362,97
dieterdreist-CAI,1.505,173.291,115.1,124,9.178,116,84,93,115
giorgio92,489,167.934,343.4,19.177,2.986,168,19,44,18
Jrachi,1.691,167.257,98.9,802,18.225,459,365,3.099,480
StefanoBachi,526,163.128,310.1,172,5.685,1.790,16,20.008,648
rugamarcus,619,161.063,260.2,15.619,7.815,409,525,93,2.308
ezio_m,1.821,158.253,86.9,736,30.213,2.462,2.029,49,2.116
MarcoR,1.344,152.180,113.2,7.206,7.243,953,1.570,235,3.767
mircozorzo,3.198,149.531,46.8,106,58.915,166,25.600,13,50
mau59,895,148.981,166.5,435,36.339,287,283,97,204
damianeue,3.002,144.622,48.2,2.748,15.997,282,1.227,75,191
dp7,1.869,144.615,77.4,1.183,1.865,1.519,147,1.850,2.294
Patrick Bous,641,143.694,224.2,353,1.863,28.557,205,107,180
conifermapper,359,139.316,388.1,57,1.253,2.771,46,144,4.829
Gioele2704,524,128.271,244.8,1.060,2.568,6.385,95,683,3.244
demon_box,3.877,127.373,32.9,3.870,8.540,2.812,891,623,18.945
f_gonella,1.352,116.896,86.5,172,31.963,430,274,353,299
Aluminum0173,3.164,111.955,35.4,8.035,11.152,185,2.480,68,136
07_Pietro_21,625,109.848,175.8,1.680,4.473,2.620,524,841,2.975
StpnGeorg,630,109.069,173.1,16.288,308,59,76,0,2
DnaX,2.190,108.709,49.6,4.104,11.408,909,2.145,588,396
sorcrosc,1.119,107.399,96.0,5.869,4.518,2.716,170,17,925
robestino,709,98.916,139.5,1.492,2.469,1.534,23,192,1.606
dieterdreist,851,96.060,112.9,2.438,2.300,2.799,457,75,931
amadvance,1.092,94.880,86.9,689,7.084,755,1.361,273,663
Dom61,2.273,93.902,41.3,5.648,8.174,247,938,23,29
Martj9,2.352,93.396,39.7,3.523,10.954,1.221,821,148,1.010
PMJx,280,92.979,332.1,766,4.966,695,154,49,3.956
Premo19,2.700,88.292,32.7,924,2.323,633,247,3.330,233
Latisana992,246,87.750,356.7,2.545,8.827,2.484,725,183,381
Fabrizio Tatti,455,84.138,184.9,1.213,3.557,207,547,350,482
frasty,898,83.598,93.1,1.865,5.208,1.578,668,174,1.353
Dino Michelini,686,81.771,119.2,608,3.263,401,118,12.894,359
Claudio Tam,265,78.401,295.9,135,1.285,611,247,574,2.499
voschix,747,77.608,103.9,852,15.565,299,589,172,95
SomeoneElse_Revert,76,75.312,990.9,1.576,7.607,41.353,1.923,211,232
Paolo Servili,593,72.179,121.7,1.430,2.294,1.242,45,205,765
canfe,3.155,70.705,22.4,3.834,14.640,635,1.860,499,323
diegomodolo,232,68.887,296.9,541,3.330,4.438,286,136,1.696
DomenicoCacace,290,68.736,237.0,2.207,3.880,789,1.800,15,670
HaPe-CZ,1.193,66.569,55.8,181,6.347,172,117,27,425
Gio Mantis,565,65.531,116.0,714,1.457,640,168,490,1.182
rikmede,605,65.014,107.5,264,2.470,227,78,223,111
user_8y978a,116,64.808,558.7,990,676,4.248,244,38,1.568
famigliapileri,296,63.148,213.3,3.099,1.337,1.667,220,351,1.273
IlBano,1.662,61.760,37.2,2.722,6.876,1.418,141,1.371,340
paganella31,1.344,59.781,44.5,1.336,10.165,758,2.067,168,2.281
Martin Ligabue,1.398,59.720,42.7,5.159,5.343,146,1.291,210,354
fedc,800,59.646,74.6,321,14.413,1.160,171,281,237
Umberto Casadio,186,59.530,320.1,1.812,5.697,481,225,1.264,277
Anonix35,223,58.109,260.6,469,4.474,638,803,102,315
laxandrea,811,57.743,71.2,4.163,3.117,1.252,305,26,759
Carbon Award,97,54.806,565.0,152,477,67,203,143,354
Lupinsun,443,54.170,122.3,31,6.545,8,31,369,14
Andrea Santorio,344,51.786,150.5,323,2.146,111,78,92,124
procuste,301,51.607,171.5,809,8.558,263,732,64,93
Max1234-ITA,326,51.017,156.5,2.183,2.179,680,508,26,348
paulbrunner,927,50.988,55.0,5.090,1.660,77,1.608,8,40
alessandrocarmeli,995,49.014,49.3,266,23.123,472,296,74,159
Italian Technology,775,48.986,63.2,1.411,8.826,673,1.411,149,315
maxtar,56,47.528,848.7,1.574,566,21,52,308,424
dvdzero,1.892,47.365,25.0,2.692,3.713,1.159,605,8,52
Edoardo Zanotti,159,46.058,289.7,6.344,726,39,57,13,19
Ale_Zena_IT,599,46.037,76.9,375,4.682,958,716,349,227
giubar,610,45.828,75.1,3.637,3.160,104,854,44,397
Balaabirami,5.186,45.775,8.8,13,17.944,51,10,11,12
PaoloLombardi,183,45.282,247.4,200,5.103,549,33,110,281
Prt_An,686,44.857,65.4,387,1.961,445,155,392,574
Sandro De Sabbata,495,44.805,90.5,1.311,1.601,105,192,55,30
Pucciotrex30,1.629,44.486,27.3,203,4.683,219,195,63,94
josil,127,44.353,349.2,397,692,442,45,93,2.116
Alexis04132,1.797,43.352,24.1,626,8.221,316,1.821,5,211
SimonTheGolds,493,42.520,86.2,1.049,3.320,1.082,629,662,375
Andrea Del Sarto,2.848,42.220,14.8,111,7.005,86,115,729,132
Aldeyde,406,41.905,103.2,599,5.426,373,202,3.208,817
tars4815,319,41.566,130.3,265,6.359,173,81,1,150
