user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
user_11166885,983,42.370,43.1,290,6.853,470,406,135,567
francians,3.283,41.825,12.7,1.014,3.544,336,3.021,47,113
hypersciocco,230,41.294,179.5,102,14.961,101,99,2.206,33
demon_box,1.773,40.989,23.1,1.340,3.384,748,568,212,1.012
ProvinciaBiella_import,6,40.667,6777.8,3.864,2,1,26,1,0
maurizioa,298,40.510,135.9,660,4.043,321,294,202,121
morisette,12,40.458,3371.5,3,4,2.037,133,30,55
Hanzi_P,40,38.210,955.2,329,818,774,75,359,368
user_10474167,407,37.888,93.1,269,5.269,336,263,100,456
Andrea Musuruane,870,37.661,43.3,630,2.434,324,1.738,32,15
rugamarcus,136,37.557,276.2,2.529,2.839,102,252,15,222
aquilavariopinta,231,37.073,160.5,850,1.706,281,114,50,323
Gio Mantis,426,35.767,84.0,441,971,117,81,83,530
usbe,391,35.040,89.6,535,2.173,529,123,51,31
mircozorzo,3.988,34.980,8.8,267,12.939,101,3.776,14,80
Decimo,130,34.422,264.8,777,1.209,753,122,99,271
snaut,155,34.419,222.1,2.683,684,175,344,3,35
jaimemd,487,33.726,69.3,205,1.538,360,51,198,303
aamon,105,33.197,316.2,5.218,243,88,31,31,20
Zironi Corrado,117,32.918,281.4,2.368,4,1,6,0,0
Andrea Santorio,613,32.837,53.6,46,1.098,319,104,55,833
