user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheck,9.127,3.525.070,386.2,115.594,64.279,15.882,8.830,1.652,4.918
Pab09,1.683,3.222.150,1914.5,2.353,19.416,461,2.263,178.360,44.404
Michele Aquilani,938,823.656,878.1,81.483,19.776,1.520,1.766,366,1.583
Jrachi,5.053,758.194,150.0,2.327,26.397,9.257,880,10.432,6.375
Davide Lasagna,1.237,473.209,382.5,317,1.145,945,85,380,5.704
fayor,839,453.173,540.1,17.072,43.306,745,17.220,797,2.137
Giovanni Forgione,3.325,448.033,134.7,889,11.279,23.282,436,5.872,19.309
pikappa79,573,403.648,704.4,5.526,3.788,4.344,461,1.683,5.552
CCCGGG,3.434,393.515,114.6,7.161,24.907,17.153,3.575,795,8.713
aldoct,2.314,318.864,137.8,4.030,20.714,390,272,3.876,1.581
achim becker,2.498,292.919,117.3,484,2.379,2.762,170,606,12.465
Gianfranco2014,138,290.769,2107.0,183,1.037,5.603,74,1.342,986
Dino Michelini,2.410,277.623,115.2,3.488,4.862,2.648,330,1.536,2.693
Max1234-ITA,505,269.055,532.8,4.596,4.034,9.253,142,274,1.769
trekker48,2.789,245.023,87.9,1.011,6.536,5.926,56,2.012,18.751
Alecs01,2.309,218.076,94.4,58.745,8.179,2.620,2.996,137,2.605
PaoloLombardi,2.344,199.477,85.1,1.477,8.515,2.855,1.064,316,2.279
Crami,755,187.911,248.9,22.340,3.215,158,69,81,100
grawal,883,174.169,197.2,6.101,2.231,3.022,141,404,1.273
IreVi,931,168.850,181.4,809,704,102,9,1.808,3.247
hecktor,386,167.491,433.9,23.936,1.280,43,66,30,2
nifan,175,162.407,928.0,271,127,0,57,26,1.276
Fra00,1.452,162.113,111.6,2.603,12.892,766,1.185,370,263
Max Tenerelli,439,162.041,369.1,63,10.434,450,44,73,746
Fabiano Peddis,2.648,152.143,57.5,4.408,4.211,304,326,123,162
josil,199,142.701,717.1,515,2.393,1.807,73,330,4.123
sorcrosc,2.776,142.256,51.2,5.082,10.124,706,1.464,47,228
Gerd Waldmann,649,135.182,208.3,2.485,4.483,1.841,849,711,7.585
syntex,984,133.879,136.1,5.333,6.335,2.689,348,82,1.905
Cortix,859,128.012,149.0,8.224,4.220,946,595,150,675
Lucio DB,54,111.739,2069.2,5.198,48,1.010,27,3,1.719
kkklllppp,980,105.467,107.6,6.931,9.998,716,1.171,36,912
voschix,1.160,95.355,82.2,1.299,17.301,258,706,595,182
SekeRob,6.653,95.343,14.3,1.807,20.729,1.084,2.004,101,1.192
Martj9,2.286,92.682,40.5,2.727,23.777,1.500,1.218,263,1.642
fedc,1.146,92.647,80.8,1.483,8.244,1.663,745,269,470
Marcello Perathoner,2.082,91.172,43.8,197,12.073,215,881,105,324
Cascafico,2.079,90.710,43.6,796,1.900,105,1.918,106,687
rosario_bianco1,2.442,90.013,36.9,1.301,1.232,1.991,63,434,1.242
PMJx,135,88.219,653.5,377,2.657,871,27,165,3.806
makakko,130,88.103,677.7,2.610,3.582,296,233,2.622,198
dieterdreist,1.329,87.864,66.1,1.901,3.832,2.663,873,302,583
gurciln,345,83.946,243.3,3.989,771,776,14,1.007,79
mau59,513,82.689,161.2,586,7.507,86,141,18,4
gigi2037,1.632,81.743,50.1,392,8.613,52,4.726,42,63
amadvance,915,81.267,88.8,2.161,5.708,18,161,122,66
jimmy_conway,653,79.600,121.9,876,2.457,2.734,82,119,684
frasty,705,78.757,111.7,978,7.785,486,731,237,424
openpablo3,686,76.664,111.8,2.292,1.643,643,220,1.247,1.437
Città di Palmi,656,76.199,116.2,1.610,2.432,994,410,74,364
damianeue,1.560,72.712,46.6,1.340,17.443,293,1.351,79,643
LaniusCollurio,196,72.341,369.1,2.526,4.587,849,407,176,157
iPelle,115,70.517,613.2,5.071,1.230,1.097,282,148,288
astraspera,214,67.882,317.2,378,1.504,3.621,206,700,1.034
G04tb0y,552,67.164,121.7,2.493,947,1.068,90,106,843
dega180,515,66.117,128.4,2.873,3.470,1.756,670,3.121,409
Lupinsun,167,65.630,393.0,13,5.089,10,15,163,15
FA91,718,63.900,89.0,3.311,771,697,191,74,207
IlBano,1.024,61.120,59.7,139,4.371,1.354,122,1.939,355
Lllll0,668,59.610,89.2,2.004,13.113,556,756,13.460,477
Francoerbi41,1.936,59.301,30.6,4.601,7.268,475,2.526,957,302
cxc,1.175,58.312,49.6,1.343,3.389,399,527,243,303
DnaX,1.101,58.283,52.9,2.568,6.143,654,1.090,252,278
LuSirto,1.158,58.279,50.3,1.252,5.496,464,780,572,2.204
vancori,369,58.260,157.9,651,2.410,45,125,145,135
Luca T98,263,55.431,210.8,97,2.695,43,31,64,22
diegomodolo,156,54.285,348.0,307,3.253,5.326,284,77,532
Mannivu,2.521,54.284,21.5,1.997,5.821,1.188,1.660,384,170
gpstracks,209,53.811,257.5,157,1.519,500,40,149,499
ceca2403,304,52.159,171.6,1.755,3.463,895,577,90,1.021
dp7,633,52.062,82.2,688,833,562,104,434,2.419
ivanbranco,1.037,50.220,48.4,2.362,5.119,8.060,917,50,199
iggalp,286,49.723,173.9,1.082,2.303,435,199,2.171,604
Riccardo Pastocchi,579,48.880,84.4,3.383,2.367,20,117,0,0
Antanicus,1.896,46.011,24.3,3.186,4.395,355,980,13,163
canfe,2.145,45.146,21.0,1.839,4.553,342,1.800,945,289
Botaler,758,45.085,59.5,1.167,7.551,741,2.247,612,253
Fabrizio Tatti,158,43.959,278.2,148,3.033,46,37,234,204
procuste,198,43.816,221.3,579,11.354,353,673,39,53
