user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
SekeRob,17.712,1.125.687,63.6,14.946,49.742,17.066,6.369,1.852,36.599
gurciln,5.182,549.060,106.0,18.226,6.906,7.557,359,6.362,4.306
FinixFighter,5.153,39.109,7.6,5.852,6.229,41,846,0,88
Andrea Del Sarto,4.660,87.116,18.7,159,19.483,169,138,353,170
ross-map,4.461,274.257,61.5,24.032,14.818,1.560,1.781,175,259
Aiman,4.428,38.080,8.6,3.676,13.164,498,1.993,79,664
alessandrocarmeli,4.238,134.092,31.6,915,29.454,2.195,1.441,183,1.979
CCCGGG,4.211,305.672,72.6,4.790,21.910,14.585,4.348,624,8.558
Rouge78,3.902,7.115,1.8,242,125,4,34,4,0
dvdzero,3.283,24.248,7.4,4.867,7.144,270,632,8,37
DocArtis,3.247,3.276,1.0,1.938,4,0,578,27,12
totera,3.231,23.246,7.2,1.230,11.944,59,2.126,26,75
mircozorzo,3.058,14.167,4.6,76,4.875,49,2.841,3,25
gigi2037,2.954,25.777,8.7,113,8.159,46,353,30,55
Dino Michelini,2.916,407.045,139.6,8.371,16.561,2.866,1.008,1.143,3.638
Cascafico,2.894,140.999,48.7,3.252,4.901,1.974,768,378,2.153
ivanbranco,2.790,146.478,52.5,4.644,17.649,16.308,5.296,764,778
Marcello Perathoner,2.787,237.874,85.4,804,18.519,994,1.863,179,811
achim becker,2.763,316.289,114.5,659,3.094,4.752,229,1.364,10.002
aldoct,2.756,241.889,87.8,2.975,21.682,675,614,1.794,1.825
demon_box,2.734,97.012,35.5,5.205,7.359,1.206,3.164,680,2.482
Gior7,2.701,122.030,45.2,969,11.695,1.093,316,344,505
bvivi,2.668,17.140,6.4,718,9.561,41,242,370,47
fedc,2.415,184.050,76.2,3.452,14.059,3.254,2.024,640,787
Mannivu,2.344,36.377,15.5,1.872,4.225,575,875,238,114
frasty,2.202,117.391,53.3,3.430,12.200,922,2.049,512,662
PaoloLombardi,2.119,200.660,94.7,1.564,11.197,4.764,333,642,1.564
Martj9,2.100,150.215,71.5,3.887,10.493,2.304,1.025,553,3.066
Francoerbi41,2.059,149.480,72.6,17.264,9.963,461,3.174,816,95
damianeue,2.002,51.140,25.5,842,12.039,153,647,25,229
Fabiano Peddis,1.957,103.514,52.9,3.777,5.985,335,474,68,73
Simone Piccardi,1.823,9.815,5.4,2.879,5.667,11,307,0,8
grifo2,1.815,17.416,9.6,486,1.561,46,131,28,217
user_14043589,1.800,4.608,2.6,178,1.736,60,1.287,2,8
napo,1.760,20.471,11.6,2.189,2.886,63,1.003,7,3.324
sorcrosc,1.753,181.740,103.7,3.071,9.370,4.445,477,35,355
amadvance,1.750,202.783,115.9,3.130,14.380,32,516,276,148
Antanicus,1.740,130.696,75.1,6.272,6.057,950,1.183,8,567
Jinx71,1.721,16.779,9.7,34,743,1.394,24,19,231
micheleOSM3,1.711,30.700,17.9,17,1.983,2,8,6,16
Italian Technology,1.699,58.570,34.5,1.465,18.073,529,2.033,263,169
Stefanodelfarfa,1.680,72.476,43.1,246,2.661,18,43,689,47
SimoGine,1.617,7.552,4.7,1.060,2.268,66,467,7,63
mcheck,1.565,1.547.839,989.0,76.371,9.717,3.775,1.065,434,1.310
pianolente,1.543,33.742,21.9,1.933,4.044,70,112,5,7
Marcello Rolli,1.507,3.560,2.4,931,220,3,231,1,17
Valerio_Bozzolan,1.507,5.550,3.7,1.158,3.248,19,373,0,34
Andrea Musuruane,1.495,43.416,29.0,1.389,3.889,314,1.037,73,38
soresina,1.484,3.267,2.2,422,5,5,17,0,525
Map47,1.461,12.826,8.8,870,203,652,135,42,512
retlawb,1.459,12.879,8.8,685,32,80,88,20,6
jmty8,1.438,18.035,12.5,46,3.728,46,188,28,13
wanethernet,1.423,3.089,2.2,397,14,0,15,0,517
canfe,1.409,62.148,44.1,2.547,5.009,245,1.596,1.301,403
fabiotofy,1.392,130.014,93.4,7.967,4.701,378,466,245,284
hecktor,1.388,597.583,430.5,64.826,4.205,301,342,113,11
CarloPro,1.376,2.527,1.8,19,412,1,6,0,3
mau59,1.371,111.803,81.5,1.507,13.891,326,599,60,40
realjep,1.358,10.382,7.6,1.051,3.699,134,607,0,92
tdovera,1.354,3.904,2.9,709,4,4,14,0,415
gabriele_sani,1.340,52.930,39.5,1.166,6.338,312,760,441,165
kkklllppp,1.330,321.793,241.9,26.995,9.129,1.183,1.176,107,780
tipogpl,1.304,1.928,1.5,165,8,0,6,0,468
Fra00,1.281,219.348,171.2,1.577,11.227,1.060,555,108,1.029
Gabriele Dri,1.253,34.183,27.3,161,7.368,1.234,901,35,1.227
seriomorto,1.240,2.087,1.7,169,12,2,13,0,373
dieterdreist,1.232,95.616,77.6,3.134,6.561,2.283,638,164,305
Luca Dorigo,1.212,12.073,10.0,41,10.894,229,284,1,81
DnaX,1.210,72.116,59.6,2.939,7.040,631,1.350,312,358
maupao70,1.209,6.055,5.0,850,2.660,11,448,1,14
DianaDemchuk,1.195,5.893,4.9,19,1.646,19,68,1,3
MauroL,1.153,39.634,34.4,58,2.448,61,56,646,131
Pucciotrex30,1.107,43.455,39.3,195,3.435,93,23,56,212
openpablo3,1.099,79.251,72.1,1.431,1.491,458,199,807,2.440
fayor,1.077,539.718,501.1,19.648,42.365,1.483,10.975,351,3.146
rosario_bianco1,1.011,39.385,39.0,51,139,424,2,29,1.184
giocomai,1.007,5.010,5.0,1.348,1.246,19,267,30,37
Molko,991,42.135,42.5,474,11.356,318,725,81,1.020
mascalzone67,990,1.253,1.3,158,24,4,583,0,0
RColombo,954,3.257,3.4,761,2.197,15,118,2,10
voschix,944,63.955,67.7,546,13.834,230,359,420,136
MarcoR,928,44.496,47.9,2.447,2.187,308,1.144,25,498
Mark09,919,11.292,12.3,150,4.011,125,356,21,38
meinmap,913,10.170,11.1,789,595,112,295,72,70
francians,872,28.731,32.9,1.979,2.624,136,502,10,47
Aleg Surta,857,5.842,6.8,16,1.483,15,62,3,0
pippo6,856,3.953,4.6,140,1.380,8,957,0,7
Tresho,853,70.504,82.7,1.349,8.588,399,1.283,116,248
Federico Ce,849,33.380,39.3,125,1.400,79,21,20,363
aa30mom,847,6.558,7.7,416,1.364,39,404,9,8
Acheloo,846,8.058,9.5,221,2.524,25,559,7,36
ALn_668,843,14.261,16.9,550,3.687,146,290,16,125
KetoCat,835,1.362,1.6,2,1.357,0,1,0,0
alesarrett,835,29.143,34.9,4.138,1.393,483,303,0,150
StpnGeorg,819,1.702,2.1,27,1.387,9,5,0,0
