user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
Đuro Jiří,21.185,435.153,20.5,29.709,60.531,1.996,24.162,548,2.831
SekeRob,7.613,3.024.993,397.3,15.681,25.667,73.507,10.489,2.189,277.940
ross-map,7.607,2.143.736,281.8,255.639,69.555,3.818,3.111,441,2.853
b-jazz-bot,6.876,19.724,2.9,3.609,414,392,5.656,13,325
Balaabirami,5.186,45.775,8.8,13,17.944,51,10,11,12
Mannivu,4.505,31.465,7.0,1.975,7.769,471,1.881,116,167
ivanbranco,4.294,215.037,50.1,41.072,14.004,8.187,5.100,639,34.419
demon_box,3.877,127.373,32.9,3.870,8.540,2.812,891,623,18.945
totera,3.425,34.663,10.1,1.286,15.887,244,3.682,24,104
Aiman,3.266,23.491,7.2,1.065,7.411,95,1.630,88,147
mircozorzo,3.198,149.531,46.8,106,58.915,166,25.600,13,50
CCCGGG,3.188,250.775,78.7,5.105,14.568,15.709,3.479,541,5.166
Aluminum0173,3.164,111.955,35.4,8.035,11.152,185,2.480,68,136
canfe,3.155,70.705,22.4,3.834,14.640,635,1.860,499,323
damianeue,3.002,144.622,48.2,2.748,15.997,282,1.227,75,191
pboscherini,2.909,190.076,65.3,1.962,12.506,1.676,1.456,930,8.232
toponomastica_comune_arenzano,2.907,1.387.716,477.4,48.137,37.040,12.966,6.229,705,2.798
aldoct,2.896,339.231,117.1,4.587,23.487,1.139,1.143,3.290,1.446
Andrea Del Sarto,2.848,42.220,14.8,111,7.005,86,115,729,132
Valerio_Bozzolan,2.768,9.371,3.4,778,4.219,4,1.523,1,131
Premo19,2.700,88.292,32.7,924,2.323,633,247,3.330,233
AndreaDFC,2.390,27.450,11.5,1.058,8.447,78,577,2,311
Martj9,2.352,93.396,39.7,3.523,10.954,1.221,821,148,1.010
Dom61,2.273,93.902,41.3,5.648,8.174,247,938,23,29
Map47,2.267,31.757,14.0,1.041,633,1.378,189,286,540
