user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
demon_box,6.262,148.752,23.8,4.223,17.002,2.953,3.671,1.960,4.315
Pathumthani,5.394,77.804,14.4,1.845,4.219,3.136,1.225,81,1.863
bvivi,4.170,51.405,12.3,855,15.099,196,255,430,190
Dino Michelini,3.609,331.203,91.8,18.635,14.686,1.460,1.253,306,1.841
aldoct,2.698,270.976,100.4,5.059,16.697,833,150,2.694,990
mcheckimport,2.514,15.104.587,6008.2,1.312.222,50.503,52.281,7.544,2.994,3.743
geotracer,2.463,35.794,14.5,257,2.690,85,137,35,163
Sal73x,2.365,87.259,36.9,4.639,3.965,451,362,172,1.042
spietsnaz,2.283,21.857,9.6,227,1.188,473,162,98,453
mircozorzo,2.262,26.655,11.8,215,6.091,145,752,6,29
fedc,2.215,225.079,101.6,3.619,12.132,7.176,910,319,442
tecsun,2.072,3.648,1.8,36,2.000,0,252,0,1
dgitto,2.051,239.999,117.0,10.064,15.521,716,3.844,228,1.335
Gabriele Dri,1.979,18.022,9.1,88,8.336,95,300,24,98
carlo fornaciari,1.952,20.817,10.7,372,3.029,115,211,204,58
luschi,1.917,45.742,23.9,1.018,9.249,502,480,368,237
softcake,1.873,76.324,40.7,110,8.798,862,56,88,82
Giovanni Monni,1.872,6.902,3.7,30,251,7,37,42,174
demetrio_m,1.843,26.373,14.3,501,3.268,190,110,106,51
vancori,1.830,108.384,59.2,1.882,4.753,220,371,366,426
a n t o n y b,1.820,29.770,16.4,4.608,402,22,277,0,255
lorenzog89,1.772,74.671,42.1,2.632,3.483,1.067,479,469,645
landfahrer,1.579,15.878,10.1,258,151,3.336,51,9,1.158
corfede,1.559,161.005,103.3,3.784,14.463,1.199,1.547,251,624
achim becker,1.554,150.769,97.0,2.715,3.720,2.282,562,1.080,5.619
ridixcr,1.520,8.347,5.5,144,2.183,24,10,13,24
karitotp,1.509,4.212,2.8,28,2.199,14,5,19,3
RichRico,1.432,3.633,2.5,14,2.049,7,3,27,3
dan980,1.401,180.708,129.0,2.907,47.982,1.605,927,437,160
ediyes,1.396,4.346,3.1,22,2.236,17,3,55,11
Molko,1.393,26.077,18.7,268,5.287,284,418,3,1.889
yurasi,1.390,4.866,3.5,33,1.984,14,6,147,9
piligab,1.358,3.902,2.9,33,1.960,17,6,163,4
MCalaOSM,1.348,31.085,23.1,2.319,1.806,172,386,12,503
marcolmd,1.348,22.305,16.5,294,870,48,185,15,952
IugiSan,1.338,23.132,17.3,284,3.045,206,508,117,209
Valefasa3,1.333,6.995,5.2,122,1.553,28,134,0,8
openpablo3,1.327,100.389,75.7,3.332,1.759,1.625,170,751,947
Constable,1.324,28.463,21.5,1.497,2.423,202,766,56,1.326
Max1234-ITA,1.310,995.398,759.8,13.520,11.619,8.783,391,624,5.852
samely,1.264,4.022,3.2,20,1.989,16,4,10,7
Pab09,1.257,291.234,231.7,16.438,15.648,1.494,1.553,348,1.556
ezy65,1.247,5.477,4.4,148,1.273,32,211,1,14
bubix,1.227,13.321,10.9,468,1.638,60,869,41,586
DannyAiquipa,1.227,3.671,3.0,21,1.992,14,3,9,9
calfarome,1.180,2.592,2.2,9,1.532,13,1,22,9
morsi,1.167,150.090,128.6,8.006,3.770,1.663,638,190,331
Elia Z,1.154,95.187,82.5,763,11.299,514,78,61,219
MapperGo,1.128,18.551,16.4,127,3.413,122,89,2,39
ratrun,1.085,5.630,5.2,18,1.906,28,28,3,2
Luis36995,1.082,3.184,2.9,23,1.714,16,3,4,4
PaoloRE1981,1.081,26.002,24.1,273,1.705,534,131,621,2.287
francoLI,1.075,17.207,16.0,10,393,631,24,0,939
sorcrosc,1.048,117.780,112.4,2.492,9.901,1.503,440,26,543
Griphon,1.046,50.526,48.3,440,4.205,851,1.427,6,438
Ale_Zena_IT,1.029,321.784,312.7,1.267,11.326,114,1.343,19.285,550
gigi2037,1.026,44.555,43.4,187,10.000,174,235,403,468
Aury88,1.002,98.859,98.7,4.482,3.544,1.783,763,77,5.170
gnuckx,967,25.063,25.9,1.264,5.409,24,382,18,283
Karthoo,963,196.735,204.3,15.094,12.125,3.267,1.574,500,1.158
Dolomites,942,23.986,25.5,64,1.648,439,42,36,315
Tomi,931,37.805,40.6,4.299,1.443,235,440,3,328
ilacopperfild,921,6.242,6.8,1.081,30,0,26,0,0
girolamo47,920,20.839,22.7,0,1.468,4,1,1,0
Cristi4n,914,70.646,77.3,3.256,3.763,1.857,685,33,4.131
carlobenini,911,22.690,24.9,630,3.326,224,795,15,209
Yiyi (itwikipedia),911,51.949,57.0,2.307,2.679,430,571,200,1.741
Mich74,877,85.432,97.4,4.827,3.759,13,58,1,1
fs25,874,9.837,11.3,723,534,257,161,3,36
niubii,871,15.850,18.2,550,1.433,34,500,24,71
pikappa79,860,367.938,427.8,10.429,7.883,4.245,1.051,1.168,3.701
Freiheit28,853,71.727,84.1,107,1.341,840,67,1,871
barbara958,845,5.516,6.5,865,13,5,1,0,0
pelatom,842,45.273,53.8,2.416,2.027,896,702,146,175
Alecs01,837,364.147,435.1,36.170,17.233,6.669,5.461,718,11.723
Zandroxxx,834,47.148,56.5,171,2.637,457,113,1.788,139
simone_girardelli,826,322.265,390.2,2.609,6.777,195,1.050,16.616,606
adirricor,821,167.851,204.4,9.084,16.470,847,888,129,1.183
Martj9,813,73.559,90.5,2.363,6.249,258,480,368,893
AlessandroAM,806,39.056,48.5,186,6.543,107,59,31,41
Cnc Reliefs,798,7.049,8.8,975,17,19,31,10,127
tyr_asd,775,51.017,65.8,1.223,2.892,431,344,191,435
Puccia,774,40.336,52.1,29,2.763,18,38,136,33
Max Peverada,763,6.277,8.2,158,1.569,19,65,9,11
EneaSuper,762,30.147,39.6,1.478,2.610,256,862,157,220
Cascafico,754,37.043,49.1,4.762,2.848,73,787,70,26
Maurizio0661,731,31.248,42.7,876,5.009,97,397,46,95
mcheck,719,201.935,280.9,622,2.938,502,613,147,455
AlfredoSP,718,43.083,60.0,41,4.064,7,9,16,19
fayor,704,356.877,506.9,3.222,33.893,1.864,926,1.218,3.112
csmggl,702,190.344,271.1,201,9.299,30,209,1,73
tytoalba,698,28.254,40.5,1.060,2.025,141,404,134,76
Marco_T,696,43.572,62.6,2.871,2.910,382,1.383,223,414
marco_camagni,695,3.025,4.4,2,2.097,6,4,0,0
M_Fanti,695,7.034,10.1,759,543,8,127,1,3
LuSirto,693,39.181,56.5,555,2.229,205,255,283,198
frasty,676,29.345,43.4,1.416,3.512,227,341,232,106
cartop,667,5.611,8.4,97,1.079,26,179,1,10
MatteoLeoni,665,17.144,25.8,641,2.340,46,147,3,61
voschix,626,39.142,62.5,447,8.105,99,302,176,60
