user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheck,4.824,7.827.546,1622.6,903.903,38.535,12.454,6.965,1.870,3.130
Jrachi,4.528,679.074,150.0,3.505,7.128,9.923,880,1.722,6.712
Michele Aquilani,1.037,506.742,488.7,52.039,14.281,645,1.210,172,1.155
fayor,788,478.764,607.6,14.151,33.292,1.507,3.953,578,2.093
fabioportinaro,157,447.916,2853.0,32.243,758,84,6,2,469
Gianfranco2014,285,391.312,1373.0,26.527,3.037,5.934,171,2.058,927
SomeoneElse_Revert,68,344.967,5073.0,414,400,127,19,2,185
aldoct,2.182,314.831,144.3,2.302,19.376,401,439,3.063,1.458
trekker48,1.948,306.990,157.6,3.324,8.222,4.124,211,802,9.440
Pab09,745,284.455,381.8,35.071,6.870,746,1.020,344,2.581
Dino Michelini,5.589,275.085,49.2,5.408,10.574,5.939,362,860,3.836
cxc,2.721,253.209,93.1,22.173,17.726,598,4.023,111,521
pikappa79,372,237.051,637.2,7.681,4.733,3.031,609,644,2.737
PaoloLombardi,2.766,204.892,74.1,5.681,12.172,1.222,722,1.179,1.348
achim becker,1.745,201.448,115.4,122,590,1.743,51,498,9.256
user_8331873,517,198.157,383.3,22.007,4.312,309,300,17,545
Andrea Musuruane import,67,190.794,2847.7,20.070,2.082,13,195,7,44
Max Tenerelli,545,173.708,318.7,102,8.539,502,72,12,1.520
Comune Aq - Ufficio Toponomastica - alji,321,156.350,487.1,13.524,2.797,71,348,277,169
demon_box,6.638,137.259,20.7,5.860,16.031,2.150,3.594,1.208,2.954
Alecs01,862,131.597,152.7,17.144,5.118,1.840,1.286,129,895
lucadelu,1.320,127.539,96.6,70,13.829,25,90,17,38
Max1234-ITA,235,127.185,541.2,2.933,2.119,2.607,78,53,1.009
gpstracks,355,112.370,316.5,1.059,3.296,354,152,291,733
fedc,1.685,104.765,62.2,2.786,13.410,1.171,699,325,221
Martj9,3.126,89.868,28.7,2.860,25.732,835,1.388,256,1.385
Francoerbi41,3.476,88.625,25.5,3.531,9.557,484,2.730,2.175,880
PMJx,88,86.378,981.6,346,3.127,430,205,16,3.418
AlfredoSP,3.077,83.724,27.2,4,7.311,62,21,57,69
vancori,464,81.903,176.5,333,2.978,73,192,155,143
sorcrosc,1.787,81.261,45.5,3.526,10.462,417,588,52,67
dieterdreist,1.105,76.547,69.3,2.764,2.682,2.084,547,213,586
josil,97,72.001,742.3,300,1.151,967,13,115,2.061
Cortix,236,70.651,299.4,6.004,2.128,43,80,28,146
billi55,5.885,69.780,11.9,6.574,2.596,1.125,108,8,6.081
LuSirto,1.695,69.534,41.0,1.012,4.820,764,1.206,1.037,791
DnaX,1.612,69.209,42.9,3.752,5.526,672,839,258,151
Marcello Perathoner,2.888,67.842,23.5,839,10.313,1.034,896,294,789
CCCGGG,1.441,65.651,45.6,1.754,2.342,2.384,604,131,817
ProvinciaBiella_import,15,64.074,4271.6,6.660,56,38,53,3,9
Wolfking7C4,168,64.037,381.2,5.820,3.195,137,236,5,204
corfede,694,63.030,90.8,4.215,6.922,535,604,38,153
maurizioa,443,62.221,140.5,2.841,3.727,540,477,153,330
Francesco Niccolini,282,59.194,209.9,430,904,571,47,191,1.316
usbe,601,58.552,97.4,1.061,4.266,612,377,35,25
IlBano,2.770,58.030,20.9,1.024,9.680,239,135,2.187,225
Fabiano Peddis,2.188,55.944,25.6,1.477,4.015,214,330,60,159
MrDo,393,54.411,138.5,869,6.173,188,246,122,198
frasty,794,53.465,67.3,1.107,5.457,198,488,48,67
Sauro_41,1.802,52.441,29.1,4.159,2.318,672,526,34,643
roys2728,235,50.982,216.9,3.583,1.224,1.451,67,390,319
solitone,454,49.846,109.8,170,3.086,18,106,76,115
arcanma,376,49.398,131.4,945,9.461,261,891,18,153
mau59,500,48.720,97.4,924,2.072,13,246,0,5
Fintocubano,898,48.143,53.6,851,1.968,409,521,161,1.050
MarcoR,715,47.449,66.4,6.196,1.731,252,394,51,234
