user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
voschix,965,46.096,47.8,954,10.601,214,449,104,79
makakko,88,46.040,523.2,2.598,1.451,283,169,127,288
jaimemd,459,45.901,100.0,139,1.476,1.048,35,166,617
Fra00,824,45.814,55.6,953,5.884,145,566,28,89
Giovan Giuseppe,237,45.789,193.2,1.528,3.325,94,264,64,296
dgitto,895,44.167,49.3,1.148,6.021,212,898,83,80
JPMichael,101,42.849,424.2,5.619,14,5,19,0,0
Denisov21,369,42.650,115.6,3.741,1.349,165,405,11,439
ernestoandolfi,558,41.965,75.2,161,600,21,310,5.360,10
astraspera,169,40.993,242.6,1.637,1.437,1.133,123,424,345
luschi,1.074,39.938,37.2,3.356,4.155,539,736,211,145
Jinx71,3.833,39.347,10.3,175,1.850,3.223,47,75,449
mircozorzo,5.266,38.714,7.4,539,23.439,24,2.352,23,61
aamon,134,38.484,287.2,6.071,426,37,43,40,101
dan980,48,37.783,787.1,64,1.793,235,30,491,27
Constable,1.539,37.625,24.4,510,6.332,300,937,94,133
tolioalessandro,2.615,37.540,14.4,477,8.280,149,196,1.285,184
Giorgos Russos,541,37.452,69.2,50,132,55,2,73,1.804
jimmy_conway,333,37.172,111.6,568,949,1.516,101,155,230
Mannivu,1.745,37.086,21.3,2.036,7.717,591,1.143,601,59
Crami,148,35.982,243.1,4.732,427,25,19,6,15
acubens71,18,35.047,1947.1,2,39,563,2,57,598
Mammi71,276,34.968,126.7,114,642,1.532,19,26,214
Marco_Fix,74,34.964,472.5,2.209,1.626,58,192,36,35
JJJWegdam,44,34.625,786.9,2,1,1,0,0,0
Botaler,555,34.246,61.7,1.292,5.293,95,1.589,225,150
vrmap,686,33.945,49.5,1.705,4.938,281,634,27,86
canfe,3.239,33.380,10.3,1.327,5.632,147,875,491,291
Aury88,362,33.190,91.7,909,1.214,236,446,57,651
hypersciocco,547,32.768,59.9,201,12.970,122,138,133,15
Ermanno Cavallini,74,31.868,430.6,5.778,291,24,123,2,20
ilBepo,301,31.651,105.2,2.345,1.700,94,220,97,127
lucalp,186,31.564,169.7,58,204,998,7,58,322
Città di Palmi,376,31.513,83.8,1.217,784,348,139,5,739
osm_fede,88,31.399,356.8,3.336,1.240,43,195,9,6
Brazzelli Roberto,186,30.997,166.7,254,61,242,76,9,319
Pedisa,180,29.400,163.3,2.058,1.178,141,199,74,201
Lupinsun,117,29.349,250.8,6,1.970,6,3,153,3
openpablo3,256,29.078,113.6,417,939,103,65,2.421,1.031
adirricor,188,28.708,152.7,1.510,2.896,248,208,0,391
sara di giorgio,1.649,28.609,17.3,36,10.831,41,3,2,9
vitoplus,461,28.499,61.8,2.129,2.812,25,417,2,3
popilen,565,28.482,50.4,1.337,459,40,257,864,177
lorenzo23622,444,28.290,63.7,58,2.575,921,67,606,266
